순위,업소명,주소,분류,현지인 검색 수
1,솔밭가든,울산 중구 함월20길 65-0,한식,4954
2,스타벅스울산성안점,울산 중구 성안1길 133-0,카페/찻집,4520
3,스타벅스울산국가정원점,울산 중구 태화강국가정원길 205-0,카페/찻집,3107
4,스타벅스울산MBC DT점,울산 중구 번영로 434-0,카페/찻집,2524
5,스타벅스울산약사DT점,울산 중구 북부순환도로 754-0,카페/찻집,2287
6,태양칼국수,울산 중구 함월14길 54-0,한식,2113
7,맥도날드울산병영점,울산 중구 번영로 576-0,간이음식,2050
8,버거킹울산우정SK점,울산 중구 북부순환도로 323-0,간이음식,1958
9,함양집종가점,울산 중구 종가8길 51-0,한식,1939
10,복산돈까스,울산 중구 손골2길 17-6,전문음식,1858
11,장현골추어탕,울산 중구 종가26길 26-0,한식,1846
12,골든드롭,울산 중구 성안1길 139-0,카페/찻집,1682
13,스컹크웍스우정혁신점,울산 중구 종가6길 22-0,전문음식,1575
14,대밭골돼지국밥,울산 중구 태화강국가정원길 229-2,한식,1405
15,서강[중식],울산 중구 종가17길 4-0,외국식,1303
16,파스쿠찌중구무궁화점,울산 중구 번영로 536-0,카페/찻집,1164
17,리코파스토,울산 중구 종가1길 14-0,외국식,1104
18,사랑채,울산 중구 내약길 62-0,한식,1015
19,소울메이트,울산 중구 성안6길 23-0,카페/찻집,1010
20,심돈,울산 중구 종가6길 8-18,한식,971
21,종로쭈꾸미성안점,울산 중구 성안로 201-0,전문음식,931
22,투썸플레이스우정혁신도시점,울산 중구 종가로 310-0,카페/찻집,887
23,밀양시골밥상,울산 중구 태화강국가정원길 113-1,한식,863
24,백양칼국수,울산 중구 종가로 406-21,한식,834
25,태화강순두부,울산 중구 오산5길 21-0,한식,817
26,화공[중식],울산 중구 종가25길 31-0,외국식,746
27,정안정,울산 중구 함월14길 13-0,한식,733
28,양포항성안점,울산 중구 백양로 23-0,한식,730
29,맨날국수태화강직영점,울산 중구 오산7길 38-0,한식,728
30,바보형제쭈꾸미울산혁신도시점,울산 중구 종가6길 25-0,전문음식,703
31,덕클,울산 중구 신기4길 18-0,외국식,686
32,용문[중식],울산 중구 함월로 102-0,외국식,659
33,수림복국,울산 중구 종가6길 26-0,전문음식,636
34,육대장울산우정혁신도시점,울산 중구 종가2길 43-0,한식,631
35,유쾌한낙지,울산 중구 태화강국가정원길 231-6,전문음식,628
36,무영쌈밥,울산 중구 함월6길 5-7,한식,622
37,샤브나인,울산 중구 태화강국가정원길 17-0,전문음식,615
38,뚱이한우국밥,울산 중구 번영로 595-0,한식,613
39,라멘집입니다울산성안점,울산 중구 성안1길 137-0,외국식,599
40,협정,울산 중구 성안6길 8-0,카페/찻집,586
41,빈티큐라운지,울산 중구 함월7길 17-0,전문음식,584
42,스매쉬커피,울산 중구 내황2길 26-0,카페/찻집,578
43,꽃마름울산옥교점,울산 중구 강북로 123-0,전문음식,576
44,롯데리아울산태화,울산 중구 태화로 174-0,간이음식,574
45,소오소오,울산 중구 풍암길 187-2,카페/찻집,546
46,눈꽃대패성안점,울산 중구 함월14길 5-0,한식,543
47,업힐,울산 중구 황암길 25-0,카페/찻집,536
48,무주골,울산 중구 종가6길 32-0,전문음식,524
49,유어가든,울산 중구 종가6길 22-0,전문음식,520
50,세현씨앤에프,울산 중구 함월1길 338-7,음식점기타,509
51,다운목살혁신점,울산 중구 종가2길 5-15,한식,508
52,파스쿠찌울산혁신도시점,울산 중구 종가6길 25-0,카페/찻집,502
53,녹음,울산 중구 성안12길 5-0,전문음식,493
54,아저씨보리밥,울산 중구 성안1길 107-1,한식,490
55,대일함흥냉면,울산 중구 명정4길 13-0,한식,489
56,원조대구막창1번지,울산 중구 곽남1길 35-0,전문음식,477
57,언양닭칼국수장현점,울산 중구 종가26길 11-0,한식,469
58,물참면옥,울산 중구 함월17길 26-0,한식,468
59,카페로로,울산 중구 종가29길 6-0,카페/찻집,456
60,외가1914,울산 중구 옥골샘2길 5-0,카페/찻집,450
61,카페오또오또,울산 중구 백양로 88-1,카페/찻집,447
62,머스트커피랩2호점,울산 중구 종가2길 42-0,카페/찻집,444
63,첫번째공간,울산 중구 성안1길 109-0,전문음식,435
63,미미옥울산점,울산 중구 동천1길 40-0,한식,435
65,샬로우커피성남점,울산 중구 중앙길 171-1,카페/찻집,424
66,가리명가본점,울산 중구 성안12길 1-0,한식,419
67,해운대31cm해물칼국수울산중구점,울산 중구 북부순환도로 180-0,한식,414
68,황금향로,울산 중구 종가6길 11-0,한식,412
68,소코아우정혁신점,울산 중구 종가5길 81-2,외국식,412
70,투썸플레이스울산태화루점,울산 중구 태화로 287-0,카페/찻집,402
70,명륜진사갈비울산남외점,울산 중구 남외2길 26-0,한식,402
72,카페파라안,울산 중구 병영로 92-0,카페/찻집,401
73,소소원,울산 중구 태화강국가정원길 45-0,카페/찻집,398
74,아이와키즈랜드카페,울산 중구 종가로 657-0,카페/찻집,397
75,약사가든,울산 중구 내약길 58-0,전문음식,393
76,녹색의향기우정혁신점,울산 중구 종가6길 4-5,전문음식,390
77,다운목살구이식당,울산 중구 운곡안길 9-0,한식,383
77,옹심이칼국수,울산 중구 백양로 182-0,한식,383
79,로즈모스,울산 중구 종가6길 32-0,전문음식,381
80,퐁당퐁당본점,울산 중구 태화강국가정원길 127-0,한식,374
81,태화강숯불장어구이,울산 중구 태화강국가정원길 169-0,전문음식,365
82,미친미역,울산 중구 종가5길 90-0,한식,364
83,방이편백육분삼십울산태화점,울산 중구 신기9길 62-0,한식,345
84,포어크,울산 중구 종가2길 1-8,전문음식,344
84,금강장어,울산 중구 산전길 8-1,전문음식,344
86,금천면관[중식],울산 중구 병영로 44-0,외국식,342
87,조포닭발,울산 중구 중앙2길 20-1,전문음식,335
88,스시허,울산 중구 남외1길 40-0,외국식,332
89,버거스올마이티혁신점,울산 중구 종가5길 73-0,간이음식,328
90,페이퍼숲,울산 중구 성안1길 125-0,카페/찻집,327
91,봉계돼지국밥,울산 중구 동헌길 76-0,한식,322
92,인생식당울산성안점,울산 중구 성안로 194-0,한식,306
93,신천지대반점[중식],울산 중구 당산4길 11-0,외국식,305
93,복산육관,울산 중구 평산2길 20-0,한식,305
95,울산잠수함,울산 중구 종가2길 10-0,전문음식,303
95,도미노피자울산성안점,울산 중구 성안로 134-0,간이음식,303
97,태화국수,울산 중구 신기4길 23-0,한식,301
98,당케마마,울산 중구 성안7길 12-0,간이음식,298
99,작심한돈,울산 중구 태화강국가정원길 229-0,한식,297
100,도미노피자울산병영점,울산 중구 평산1길 2-0,간이음식,296
