순위,업소명,주소,분류,현지인 검색 수
1,가좌동진천토종순대청라점,인천 서구 담지로104번길 17-1,한식,11850
2,구수옥설렁탕,인천 서구 중봉대로586번길 9-23,한식,8826
3,드마리스청라점,인천 서구 청라커낼로260번길 15-0,전문음식,7704
4,서원안길,인천 서구 원당대로608번안길 14-0,카페/찻집,7443
5,더노벰버라운지청라점,인천 서구 청라한내로72번길 7-25,카페/찻집,6975
6,홍익돈까스청라점,인천 서구 담지로104번길 26-1,전문음식,6505
7,개성손만두요리전문점청라직영점,인천 서구 청라라임로122번길 3-1,한식,6373
8,경복궁삼계탕청라점,인천 서구 청라라임로122번길 3-3,한식,6331
9,브런치빈,인천 서구 청라라임로 57-0,전문음식,6289
10,선식당,인천 서구 보석로11번길 13-0,음식점기타,6018
11,토모루,인천 서구 청라라임로106번길 15-0,간이음식,6012
12,써니네집,인천 서구 크리스탈로 84-0,외국식,5339
13,자미궁제빵소,인천 서구 원당대로819번길 38-0,간이음식,5209
14,괭이부리마을청라점,인천 서구 청라에메랄드로 99-0,한식,4858
15,레이중화요리[중식],인천 서구 청라루비로42번길 5-21,외국식,4755
16,청라어보,인천 서구 중봉대로586번길 9-23,한식,4665
17,한상민과자점검단신도시점,인천 서구 이음대로 378-0,간이음식,4472
18,딤타오청라점,인천 서구 청라한내로72번길 7-25,외국식,4367
19,권오길손국수본점,인천 서구 검단로 789-0,한식,4279
20,해미루청라본점,인천 서구 청라에메랄드로41번길 11-0,한식,4260
21,고복샤브샤브청라점,인천 서구 청라루비로42번길 6-4,전문음식,4157
22,단풍나무,인천 서구 검단로379번길 31-2,한식,4151
23,산이내린밥상곤드레밥집서구점 [한식],인천 서구 서곶로 253-0,한식,4005
24,석남동함흥냉면,인천 서구 석남로 87-0,한식,3945
25,어부의밥상청라점,인천 서구 보석로12번안길 20-0,한식,3922
26,유천가든,인천 서구 아라로51번길 6-1,전문음식,3696
27,건강밥상심마니청라점,인천 서구 청라커낼로288번길 10-0,한식,3652
28,더존더파티스타청라점,인천 서구 중봉대로 594-0,전문음식,3514
29,별미지교인천서구점,인천 서구 백범로 872-0,전문음식,3464
30,망향비빔국수청라점,인천 서구 담지로104번길 29-0,한식,3362
31,송도갈매기송림점,인천 서구 백범로 872-0,한식,3334
32,라메르,인천 서구 정서진로 651-0,전문음식,3311
33,띤뜨,인천 서구 청라루비로42번길 14-0,외국식,3212
34,진천토종순대가좌동본점,인천 서구 신진말로 37-0,한식,3095
35,투파인드피터청라점,인천 서구 청라에메랄드로 84-0,외국식,3054
36,상무초밥청라점,인천 서구 청라에메랄드로 79-0,외국식,3028
37,채선당플러스서구청점,인천 서구 서곶로 277-0,전문음식,2991
38,호가화[중식],인천 서구 청라커낼로319번길 3-14,외국식,2990
39,북경짜장2900원검단점 [중식],인천 서구 원당대로 553-0,외국식,2963
40,알벤토,인천 서구 청라루비로134번길 6-0,간이음식,2961
41,청라왕아구,인천 서구 청라라임로16번길 7-0,전문음식,2955
42,오봉집검단점,인천 서구 이음대로 378-0,전문음식,2946
43,우사미,인천 서구 청라루비로42번길 5-25,한식,2944
44,짬뽕지존청라점 [중식],인천 서구 국제대로 237-0,외국식,2881
45,한우야,인천 서구 원적로124번길 1-0,한식,2878
46,비스트로 페르레이,인천 서구 크리스탈로 100-0,전문음식,2845
47,촌장골서구청점,인천 서구 서곶로 296-0,한식,2806
48,하이테이블청라점,인천 서구 푸른로15번길 2-0,카페/찻집,2793
49,브런치빈검단점,인천 서구 이음5로 62-0,전문음식,2792
50,씨앤비베이커리카페,인천 서구 아라로 117-1,카페/찻집,2701
51,금화왕돈까스검단점,인천 서구 봉수대로 1274-0,전문음식,2695
52,이비가짬뽕인천본점 [중식],인천 서구 서곶로 322-0,외국식,2668
53,희래등[중식],인천 서구 탁옥로86번길 6-1,외국식,2649
54,권오길손국수청라점,인천 서구 청라라임로106번길 19-0,한식,2642
55,봄이보리밥청라점,인천 서구 청라에메랄드로 94-0,한식,2630
56,스시어왕검단본점,인천 서구 청마로7번길 15-0,외국식,2574
57,원갈비,인천 서구 심곡로8번길 4-0,한식,2573
58,촌장골,인천 서구 서곶로 850-0,한식,2444
59,덕수가든,인천 서구 고산후로 198-0,한식,2437
60,채움편백찜샤브샤브,인천 서구 크리스탈로 78-0,전문음식,2410
61,구이가청라점,인천 서구 크리스탈로 78-0,한식,2366
62,택이네조개전골가정점,인천 서구 염곡로498번안길 11-10,전문음식,2355
63,은옥돈카츠,인천 서구 청라커낼로329번길 19-3,전문음식,2345
64,청정칼국수,인천 서구 푸른로14번길 12-0,한식,2326
65,삼대청국장청라본점,인천 서구 청라에메랄드로41번길 24-0,한식,2324
66,고쉐프의신선한초밥,인천 서구 청라에메랄드로41번길 20-0,외국식,2294
67,크리스피크림도넛인천청라점,인천 서구 중봉대로586번길 19-0,간이음식,2288
68,해변식당,인천 서구 호두산로58번길 10-0,한식,2285
69,한라담청라점,인천 서구 경명대로 401-0,한식,2279
70,금화왕돈까스가좌본점,인천 서구 가정로37번길 4-0,전문음식,2278
71,스시민청라점,인천 서구 청라커낼로260번길 11-0,외국식,2257
72,편백가원청라점,인천 서구 청라커낼로 264-0,전문음식,2237
73,소플러스청라점,인천 서구 중봉대로586번길 9-19,한식,2231
74,소풀이청라도양평해장국,인천 서구 중봉대로 781-0,한식,2216
