순위,업소명,주소,분류,현지인 검색 수
1,온더선셋,경남 거제시 성포로 65-0,카페/찻집,6339
2,오송웨이브,경남 거제시 오송7길 3-1,카페/찻집,5613
3,더블유181,경남 거제시 거제북로 2707-0,카페/찻집,5538
4,짹짹커피,경남 거제시 거제중앙로8길 8-0,카페/찻집,5204
5,마소마레,경남 거제시 거제대로 1828-5,카페/찻집,4618
6,젬스톤거제점,경남 거제시 신계해안길 90-0,카페/찻집,3974
7,하면옥본점,경남 거제시 연하해안로 320-0,한식,3711
8,몰리힐스,경남 거제시 옥포대첩로 1238-0,카페/찻집,3474
9,맥도날드거제옥포SK DT점,경남 거제시 거제대로 3714-0,간이음식,3040
10,심해,경남 거제시 옥포대첩로 1252-0,카페/찻집,3023
11,만선호해물칼국수,경남 거제시 연하해안로 344-0,한식,2980
12,블랙업커피수월점,경남 거제시 제산안길 18-0,카페/찻집,2869
13,한꼬막두꼬막,경남 거제시 지세포로 121-0,전문음식,2815
14,스타벅스거제대로DT점,경남 거제시 거제대로 4521-0,카페/찻집,2602
15,시방리카페,경남 거제시 옥포대첩로 1216-0,카페/찻집,2537
16,글래씨스,경남 거제시 거제대로 1514-17,카페/찻집,2463
17,성포끝집,경남 거제시 성포로3길 56-0,전문음식,2461
18,금농갈비,경남 거제시 옥포로9길 6-0,한식,2283
19,마틴커피,경남 거제시 거제대로 2752-0,카페/찻집,2178
20,거제보재기집,경남 거제시 지세포해안로 175-0,전문음식,2176
21,외도널서리,경남 거제시 구조라로4길 21-0,카페/찻집,2129
22,롤링핀거제시청점,경남 거제시 계룡로9길 9-0,간이음식,2087
23,파인에이플러스,경남 거제시 청마로 206-0,전문음식,2077
24,바람의핫도그본점,경남 거제시 다대5길 13-0,간이음식,2057
25,쌤김밥,경남 거제시 지세포로 101-0,간이음식,2016
26,덕둔버거,경남 거제시 하둔길 53-0,간이음식,1862
27,배말칼국수김밥본점,경남 거제시 장승포로 2-0,한식,1861
28,배말칼국수김밥거제장목점,경남 거제시 옥포대첩로 776-5,한식,1810
29,스타벅스거제옥포DT점,경남 거제시 거제대로 3718-0,카페/찻집,1803
30,예이제게장백반본점,경남 거제시 장승로 101-1,전문음식,1777
31,윤돌커피,경남 거제시 윤돌길 18-0,카페/찻집,1765
32,모정해물탕,경남 거제시 중곡로3길 32-3,한식,1756
33,인간미,경남 거제시 문동4길 32-0,외국식,1751
34,둔덕농협한우관,경남 거제시 거제남서로 4580-0,한식,1712
35,신기해로,경남 거제시 다대5길 41-0,카페/찻집,1686
36,더꽃매미성점,경남 거제시 옥포대첩로 1350-6,한식,1659
37,더웨이브147,경남 거제시 덕호해안길 147-1,카페/찻집,1658
38,수나로이,경남 거제시 동상명진길 119-1,전문음식,1560
39,거제해금강회센터,경남 거제시 아주1로2길 31-0,전문음식,1540
40,강성횟집본점,경남 거제시 지세포해안로 204-0,전문음식,1535
41,세일마트즉석코너,경남 거제시 중곡로7길 12-0,간이음식,1501
42,스타벅스거제고현점,경남 거제시 거제중앙로 1936-0,카페/찻집,1494
43,대박난맛집,경남 거제시 거제대로 910-0,한식,1460
44,장수굴국밥,경남 거제시 옥포대첩로6길 23-0,한식,1450
45,아웃백스테이크하우스거제점,경남 거제시 서문로5길 6-0,전문음식,1439
45,에버어뮤즈,경남 거제시 문동4길 99-0,카페/찻집,1439
47,두리원,경남 거제시 거제대로 4943-8,한식,1378
48,그루브인,경남 거제시 시방2길 1-0,카페/찻집,1352
49,델라하이,경남 거제시 아주2로4길 5-45,카페/찻집,1351
50,승천냉면갈비찜,경남 거제시 고현로 60-0,한식,1339
51,어방가,경남 거제시 지세포해안로 40-0,전문음식,1282
52,더꽃본점,경남 거제시 아주로 24-0,한식,1224
53,선농재,경남 거제시 연하해안로 271-0,한식,1219
54,배말칼국수김밥거제학동점,경남 거제시 학동6길 51-0,한식,1207
55,대원군숯불갈비,경남 거제시 거제중앙로31길 32-1,한식,1197
56,웅아물회,경남 거제시 지세포해안로 171-0,전문음식,1173
57,쿠우쿠우거제점,경남 거제시 거제중앙로 1938-3,전문음식,1171
58,바릇,경남 거제시 거제대로 1806-0,전문음식,1168
59,싱싱게장,경남 거제시 장승포로 10-0,한식,1165
60,온기당,경남 거제시 고현로 138-77,한식,1163
61,거장물총칼국수,경남 거제시 능포로 52-0,한식,1156
62,카페구아나,경남 거제시 시방2길 52-0,카페/찻집,1146
63,물레방아한정식[한식],경남 거제시 서문로6길 11-0,한식,1135
64,해뜨는집,경남 거제시 지세포해안로 182-0,전문음식,1133
65,메러디스빅토리,경남 거제시 제산로3길 18-0,카페/찻집,1126
66,N436,경남 거제시 거제대로 1764-0,카페/찻집,1099
67,백제칼국수,경남 거제시 장평로4길 23-0,한식,1087
68,키친루셀로,경남 거제시 거제대로 1861-0,전문음식,1078
69,거장물총칼국수장목점,경남 거제시 시방2길 32-0,한식,1040
70,거제멸치쌈밥,경남 거제시 지세포해안로 16-0,한식,1020
71,박가네돌판찜,경남 거제시 읍내로 80-1,한식,1008
72,목구멍본점,경남 거제시 아주1로2길 29-0,한식,996
73,집밥청보리[한식],경남 거제시 거제중앙로13길 30-0,한식,988
74,투썸플레이스거제아주점,경남 거제시 아주1로2길 58-0,카페/찻집,985
75,길손,경남 거제시 거제중앙로 678-5,카페/찻집,978
75,버거킹거제고현점,경남 거제시 서문로5길 6-0,간이음식,978
77,버거킹옥포점,경남 거제시 옥포로 161-0,간이음식,958
78,배말칼국수김밥고현직영점,경남 거제시 거제중앙로5길 26-0,한식,948
79,일공공샤브거제상동점,경남 거제시 상동5길 22-1,전문음식,944
80,엘도라도,경남 거제시 가조로2길 44-0,카페/찻집,943
81,청마루대구뽈찜,경남 거제시 수양1길 151-0,한식,941
82,초정명가,경남 거제시 지세포해안로 38-0,전문음식,939
83,볶다[중식],경남 거제시 성포로 103-0,외국식,928
84,어웨일카페펍,경남 거제시 성포로3길 3-0,카페/찻집,911
85,예이제게장백반구조라점,경남 거제시 구조라로 12-0,전문음식,908
86,대패생각거제고현점,경남 거제시 중곡로1길 47-0,한식,895
87,소향다원,경남 거제시 칠천로 148-12,한식,880
88,박영수손짜장[중식],경남 거제시 옥포성안로 26-0,외국식,879
89,백만석,경남 거제시 계룡로 47-0,한식,865
90,지세포로와,경남 거제시 지세포해안로 194-0,카페/찻집,855
91,순봉가,경남 거제시 거제대로 2897-0,한식,850
92,아지트,경남 거제시 하둔길 65-0,한식,845
93,파평옥거제아주점,경남 거제시 아주1로 31-0,한식,827
94,원조거제굴구이,경남 거제시 거제남서로 3854-0,전문음식,822
95,우진,경남 거제시 거제북로 1073-0,전문음식,814
96,파스타공방,경남 거제시 가조서로2길 10-0,전문음식,808
97,배말칼국수김밥거제면점,경남 거제시 거제남서로 3404-0,한식,803
98,멍아일랜드,경남 거제시 사등2길 3-0,카페/찻집,801
99,리묘,경남 거제시 하둔길 49-0,카페/찻집,799
100,국자횟집,경남 거제시 외포5길 64-1,전문음식,796
