순위,업소명,주소,분류,현지인 검색 수
1,총체보리한우정육식당,전북 김제시 옥석길 2-11,한식,5134
2,대율담,전북 김제시 대화1길 95-0,카페/찻집,3505
3,오늘여기,전북 김제시 상사길 50-0,카페/찻집,1526
4,은빛가든,전북 김제시 하흥로 468-12,한식,1512
5,지평선청보리한우촌,전북 김제시 모악로 17-0,한식,1359
6,카페달밤,전북 김제시 모악7길 112-4,카페/찻집,1123
7,가보세칼국수,전북 김제시 석정로 2-15,한식,912
8,다솜차반[한식],전북 김제시 대율2길 83-0,한식,881
9,김정선베이커리카페,전북 김제시 우림로 188-14,간이음식,815
10,촌집,전북 김제시 금산사로 561-0,한식,801
11,미즈노씨네트리하우스,전북 김제시 대동1길 49-5,카페/찻집,788
12,조만영의벌떡순대국,전북 김제시 남북로 151-0,한식,785
13,우연하게도,전북 김제시 우림로 188-13,카페/찻집,774
14,대흥각[중식],전북 김제시 검산택지1길 29-0,외국식,755
15,소프라,전북 김제시 콩쥐팥쥐로 779-35,카페/찻집,700
16,헤이그라운드,전북 김제시 모악로 460-20,카페/찻집,683
17,오버그로우,전북 김제시 번영로 2518-7,카페/찻집,666
18,명천식당슈퍼,전북 김제시 청공로 680-1,한식,628
19,백산한우촌,전북 김제시 지평선산단2길 292-4,한식,624
20,예촌,전북 김제시 금구로 43-1,한식,621
21,아울카페,전북 김제시 월전로 62-9,카페/찻집,620
22,대운한우암소회관,전북 김제시 모악로 7-0,한식,596
23,할리스전북김제점,전북 김제시 검산택지5길 21-10,카페/찻집,576
24,신양옥찻집,전북 김제시 청도2길 8-0,카페/찻집,515
25,샤브마니아김제점,전북 김제시 검산택지길 41-0,전문음식,512
26,솔가숯불갈비김제점,전북 김제시 중앙로 51-17,한식,502
27,더본감자탕김제점,전북 김제시 도작로 159-0,한식,486
28,용지로스,전북 김제시 화동길 63-0,한식,476
29,참예우한우프라자,전북 김제시 콩쥐팥쥐로 35-0,한식,462
30,청원골,전북 김제시 모악8길 20-6,한식,440
31,세엄마칼국수김제점,전북 김제시 방죽안길 6-8,한식,424
32,두거리우신탕김제,전북 김제시 검산택지2길 8-3,한식,408
33,바지락죽,전북 김제시 중앙로 99-0,한식,406
34,배스킨라빈스전북김제점,전북 김제시 도작로 97-0,간이음식,406
35,댕굴댕굴,전북 김제시 강변로 15-0,카페/찻집,403
36,카페마마,전북 김제시 우림로 256-14,카페/찻집,388
37,늘숲,전북 김제시 청도4길 30-8,카페/찻집,379
38,낙지연가,전북 김제시 우림로 188-23,전문음식,375
39,황금코다리김제점,전북 김제시 동서로 345-0,전문음식,374
40,트윈스테이블,전북 김제시 죽산로 145-0,카페/찻집,351
41,락원가든,전북 김제시 모악로 166-1,한식,338
42,하얀집,전북 김제시 동서18길 32-0,전문음식,338
43,시원카페,전북 김제시 하동1길 183-0,카페/찻집,326
44,임도령남원추어탕,전북 김제시 요촌중2길 19-0,한식,324
45,옥금정[한식],전북 김제시 성산길 107-0,한식,323
46,아빠덕애,전북 김제시 하공로 41-0,전문음식,323
47,한식뷔페황미가,전북 김제시 지평선산단2길 292-7,전문음식,320
48,카페선암리,전북 김제시 선암5길 109-0,카페/찻집,282
49,청하횟집,전북 김제시 풍요로 18-0,전문음식,281
50,바랑산,전북 김제시 대율2길 192-0,한식,268
51,총체보리한우촌,전북 김제시 동서로 62-0,한식,268
52,두꺼비회관,전북 김제시 동서8길 21-0,한식,268
53,아옛날,전북 김제시 봉황로 87-0,한식,265
54,장어마을,전북 김제시 검산택지5길 33-6,전문음식,251
55,콩사랑뚜부장수,전북 김제시 요촌중4길 47-11,한식,247
56,은혜식탁,전북 김제시 요촌북로 91-0,외국식,244
57,고봉민김밥인김제신풍점,전북 김제시 금성로 96-0,간이음식,240
58,원조시골집,전북 김제시 원평로 17-0,한식,237
59,백제삼계탕,전북 김제시 요촌서1길 46-8,한식,234
60,모정산골냉면,전북 김제시 풍요로 8-0,한식,231
61,대운한우촌,전북 김제시 봉두로 84-0,한식,225
62,카페뷰,전북 김제시 대율2길 194-0,카페/찻집,221
63,소라수산,전북 김제시 도작8길 59-0,전문음식,214
64,한식찬[한식],전북 김제시 도작9길 55-0,한식,206
65,고각[중식],전북 김제시 부량1길 31-0,외국식,201
66,갈비스타,전북 김제시 하공로 237-85,한식,198
67,유림가든,전북 김제시 하공로 136-29,한식,196
68,김제군산복횟집,전북 김제시 금성8길 18-0,전문음식,190
69,고기박사냉면초계막국수김제점,전북 김제시 검산택지2길 28-20,한식,188
70,원조시골집순대원평원조1호점,전북 김제시 봉황로 12-1,한식,186
71,호두마루애견카페,전북 김제시 대동길 609-0,카페/찻집,184
72,태능숯불갈비,전북 김제시 요촌북로 79-18,한식,176
73,애호박돼지국밥,전북 김제시 봉두4길 62-7,한식,172
74,신풍각[중식],전북 김제시 봉두3길 48-0,외국식,161
75,그린반점[중식],전북 김제시 애통길 133-0,외국식,157
