순위,업소명,주소,분류,현지인 검색 수
1,부뚜막,전북 진안군 진무로 2744-12,한식,380
2,카페기배기,전북 진안군 진성로 373-20,카페/찻집,376
2,초가정담,전북 진안군 마이산남로 213-0,한식,376
4,시골순대,전북 진안군 우화2길 10-0,한식,367
5,연꽃두부,전북 진안군 전진로 3071-21,전문음식,258
6,동몽원[한식],전북 진안군 운장로 54-9,한식,213
7,운일암송어횟집,전북 진안군 동상주천로 2094-53,전문음식,206
8,샘터가든,전북 진안군 중앙로 99-0,한식,193
9,마이담,전북 진안군 전진로 1947-0,전문음식,172
10,카요코코,전북 진안군 학천변길 157-0,카페/찻집,151
11,카페마이산,전북 진안군 관진로 431-0,카페/찻집,142
12,진안고원한국관,전북 진안군 마이산로 150-0,한식,136
13,월평댁,전북 진안군,한식,130
14,벚꽃마을,전북 진안군 마이산남로 209-0,한식,128
15,제일식당,전북 진안군 우화4길 2-0,한식,127
16,금강참붕어,전북 진안군 금지1길 18-20,한식,126
17,카페운일암안단테,전북 진안군 동상주천로 1729-0,카페/찻집,102
18,카페공간153,전북 진안군 당산길 26-2,카페/찻집,73
19,마이산풍경식당,전북 진안군 마이산남로 194-0,한식,70
20,우래한우,전북 진안군 마이산로 136-0,한식,67
21,진미가든,전북 진안군 모래재로 726-7,한식,66
22,정원짜장[중식],전북 진안군 안용로 889-0,외국식,63
23,시골촌가든,전북 진안군 석원로 120-0,한식,61
24,통큰집,전북 진안군 옥수길 2-0,한식,60
25,마이산힐링하우스앤카페,전북 진안군 마이산로 228-10,카페/찻집,58
26,모래재너머,전북 진안군 원세동길 7-14,전문음식,57
27,롯데리아진안점,전북 진안군 진무로 1093-0,간이음식,56
28,산골어부,전북 진안군 관진로 461-0,한식,54
29,조대감네전주회관,전북 진안군 외사양길 19-0,한식,53
30,덕봉정,전북 진안군 옛웅치길 130-3,한식,51
31,오천순두부,전북 진안군 진장로 716-0,한식,48
32,진안마이돈,전북 진안군 마이산로 134-0,한식,39
33,운장산가든,전북 진안군 모래재로 743-10,한식,38
33,운장산송어장,전북 진안군 내처사길 64-14,전문음식,38
33,청송가든[한식],전북 진안군 직동길 8-0,한식,38
36,섬바위가든,전북 진안군 안용로 910-0,전문음식,35
37,전원일기,전북 진안군 학천변길 159-0,한식,34
37,안천각,전북 진안군 진무로 2993-0,외국식,34
37,백제회관,전북 진안군 마이산로 144-0,한식,34
40,국태가든,전북 진안군 외사양길 25-0,한식,33
