순위,업소명,주소,분류,현지인 검색 수
1,뽀야네식당,강원 화천군 구둔지길 59-0,한식,577
2,강원양어장횟집,강원 화천군 화악산로 589-0,전문음식,376
3,신풍루[중식],강원 화천군 영서로 6445-0,외국식,343
4,이기자회관[한식],강원 화천군 사내로7길 7-12,한식,230
5,우정갈비,강원 화천군 중앙로2길 23-12,한식,183
6,햇골막국수,강원 화천군 햇골길 200-0,한식,182
7,천일막국수,강원 화천군 중앙로 34-9,한식,181
8,백가네칡냉면,강원 화천군 평화로 233-0,한식,141
9,화천써비스허브정원카페,강원 화천군 춘화로 2861-10,카페/찻집,136
10,광덕고개쉼터,강원 화천군 포화로 2-0,한식,132
11,그집쭈꾸미,강원 화천군 산수화로5길 1-0,전문음식,128
12,아리산,강원 화천군 감성마을길 2-0,한식,118
13,카페정원,강원 화천군 가손이길 36-0,카페/찻집,106
14,샤또그린,강원 화천군 상승로 128-0,카페/찻집,105
15,북한강횟집,강원 화천군 중앙로 12-10,전문음식,105
16,송화수산횟집,강원 화천군 용화산로 1139-43,전문음식,104
17,강산애닭갈비,강원 화천군 상승로1길 16-6,전문음식,87
18,청년반점[중식],강원 화천군 사내로 10-13,외국식,85
19,시골쌈밥,강원 화천군 평화로 347-0,한식,84
20,삼호가든,강원 화천군 문화마을1길 14-0,한식,83
21,화천열무국수,강원 화천군 포화로 810-0,한식,82
22,강원나물밥채원,강원 화천군 상승로 60-7,한식,82
23,화천삼나물밥상[한식],강원 화천군 중앙로1길 14-5,한식,81
24,잔미술관카페,강원 화천군 수피령로 131-353,카페/찻집,77
25,광덕별아래,강원 화천군 천문대길 8-0,카페/찻집,77
26,제이쿠치나,강원 화천군 사내로7길 146-10,외국식,69
27,별미촌,강원 화천군 사내로5길 13-0,한식,67
28,거북회관,강원 화천군 수피령로 36-0,한식,66
29,산천정육식당,강원 화천군 산수화로 111-0,한식,62
30,화천어죽탕,강원 화천군 파로호로 91-0,한식,58
31,명월복지마트,강원 화천군 수피령로 882-0,음식점기타,51
32,산채골,강원 화천군 상승로 54-9,한식,49
33,백암산감자탕,강원 화천군 중앙로4길 12-0,한식,48
34,콩사랑,강원 화천군 대이리길 39-0,한식,47
35,대청마루,강원 화천군 중앙로5길 8-0,한식,47
36,광덕리329카페,강원 화천군 포화로 828-0,카페/찻집,46
37,배스킨라빈스강원화천점,강원 화천군 중앙로 11-0,간이음식,46
38,비수구미식당[한식],강원 화천군 비수구미길 470-0,한식,46
39,대성산회관,강원 화천군 수피령로 1329-0,한식,44
40,평양막국수초계탕,강원 화천군 평화로 406-0,한식,41
41,봄내,강원 화천군 공단길 68-7,음식점기타,41
