순위,업소명,주소,분류,현지인 검색 수
1,배꼽제빵소,강원 양구군 박수근로365번길 20-2,간이음식,1033
2,양구재래식손두부,강원 양구군 학안로 6-0,한식,712
3,도촌막국수,강원 양구군 국토정중앙로 6-0,한식,592
4,광치막국수,강원 양구군 남동로 34-7,한식,479
5,양지말뫼막국수,강원 양구군 남동로321번길 40-0,한식,374
6,강원한우정육식당,강원 양구군 정중앙로 202-0,한식,360
7,전주식당,강원 양구군 비봉로 91-15,한식,343
8,백두회관상리점,강원 양구군 중심로 110-21,한식,337
9,시래원,강원 양구군 봉화산로 457-0,한식,315
10,양구농협 동면지점 하나로마트,강원 양구군 금강산로 1696-0,음식점기타,306
11,구암손두부,강원 양구군 구암리길38번길 20-0,한식,303
12,아인53카페,강원 양구군 성곡로 200-1,전문음식,262
13,시래정,강원 양구군 황강길 16-23,한식,241
14,백년교동짬뽕양구점 [중식],강원 양구군 비봉로 6-12,외국식,202
15,시골분식,강원 양구군 삼팔선로 1-0,간이음식,198
16,파로호육개장,강원 양구군 사명길 107-0,한식,178
17,옥천식당,강원 양구군 중앙길 68-0,한식,171
18,회포차,강원 양구군 사명길 108-0,전문음식,157
19,월운막국수,강원 양구군 금강산로 1873-4,한식,130
20,장수오골계숯불구이,강원 양구군 양록길23번길 6-17,한식,118
21,빅보이 식당,강원 양구군 금강산로 831-4,한식,115
22,백토미가,강원 양구군 장거리길 17-0,한식,112
23,메가커피양구점,강원 양구군 중앙길 16-0,카페/찻집,104
24,르쏠레이475,강원 양구군 박수근로365번길 84-11,카페/찻집,99
25,풍미식당[중식],강원 양구군 펀치볼로 58-1,외국식,94
26,밤나무집식당,강원 양구군 소양석현길 34-0,한식,84
27,양자강[중식],강원 양구군 양록길 106-0,외국식,79
28,양구손냉면,강원 양구군 정중앙로 183-6,한식,74
29,대암회관,강원 양구군,한식,72
30,귀빈[한식],강원 양구군 파로호로 903-0,한식,68
31,비봉식당,강원 양구군 비봉로 85-8,한식,63
32,이차돌강원도양구점,강원 양구군 양록길23번길 6-29,한식,57
33,국수나무 양구청춘점,강원 양구군 청춘로 39-103,간이음식,53
34,화산뚝배기짬뽕[중식],강원 양구군 황강길 22-0,외국식,50
35,카페까미노,강원 양구군 국토정중앙로 126-0,카페/찻집,47
36,이가돈가,강원 양구군 사명길 118-10,한식,47
37,한우생닭치킨,강원 양구군 비봉로 6-27,간이음식,46
38,양구도촌삼계탕,강원 양구군 청춘로 39-37,한식,45
39,고봉민김밥인양구상리점,강원 양구군 중심로 187-0,간이음식,45
40,치엘로파스타,강원 양구군 청춘로 40-36,전문음식,44
41,배스킨라빈스강원양구점,강원 양구군 중앙길 9-0,간이음식,43
42,대월숯불오골계구이,강원 양구군 춘양로 2725-0,한식,42
43,일품양평해장국양구점,강원 양구군 관공서로 15-3,한식,38
44,수영 감자탕,강원 양구군 비봉로 46-16,한식,38
45,카페일상,강원 양구군 청춘로 73-31,카페/찻집,38
46,처음처럼,강원 양구군 양록길23번길 12-6,한식,37
47,불티나닭갈비,강원 양구군 사명길 108-10,전문음식,35
48,청수골쉼터,강원 양구군 정중앙로556번길 7-3,한식,33
49,양구장칼국수,강원 양구군 중심로 41-7,한식,32
50,카페1001-8,강원 양구군 정중앙로 606-6,카페/찻집,32
51,만나쉼터,강원 양구군 정중앙로 244-0,한식,31
52,대천해물면낙지칼국수,강원 양구군 양록길23번길 16-19,전문음식,30
53,용이초밥,강원 양구군 비봉로 42-1,외국식,29
54,석장골오골계,강원 양구군 양록길23번길 16-7,한식,29
55,무한밥상,강원 양구군 양록길23번길 12-1,한식,28
56,이삭토스트강원양구점,강원 양구군 중앙길 29-0,간이음식,27
57,정자나무막국수,강원 양구군 정중앙로 710-0,한식,27
58,만대리농가레스토랑,강원 양구군 펀치볼로 1121-71,한식,26
59,솔모루가든,강원 양구군 정중앙로 519-0,한식,26
60,구이소,강원 양구군 양록길23번길 6-14,한식,26
61,산채로,강원 양구군 관공서로 21-4,한식,25
62,푸라닭강원양구점,강원 양구군 사명길 123-0,간이음식,24
63,최가네,강원 양구군 양록길23번길 6-27,한식,24
64,정주골,강원 양구군 청춘로 73-33,한식,24
65,안심목장,강원 양구군 청춘로 19-0,한식,24
66,설빙양구점,강원 양구군 양록길 84-0,카페/찻집,23
67,밥이랑고기랑,강원 양구군 양록길23번길 16-4,전문음식,22
68,우정가든,강원 양구군 파로호로 949-0,한식,21
69,더벤티강원양구점,강원 양구군 중심로 192-0,카페/찻집,21
70,하나로마트양구농협남면점,강원 양구군 정중앙로 629-0,음식점기타,21
71,호이안그릴가든,강원 양구군 박수근로 359-0,한식,20
72,대청마루,강원 양구군 해시계로 28-1,전문음식,20
73,양구 장인족발,강원 양구군 비봉로 46-12,전문음식,20
74,개미들의백년쭈꾸미,강원 양구군 중심로 186-1,전문음식,20
75,달밤,강원 양구군 황강길 16-8,카페/찻집,19
76,오미막국수,강원 양구군 평화로 4820-0,한식,18
77,동수리막국수,강원 양구군 파로호로 899-0,한식,18
78,BBQ강원양구점,강원 양구군 중앙길 15-0,간이음식,18
79,김순례할매손두부,강원 양구군 펀치볼로1316번길 19-1,한식,18
80,카페포레스트,강원 양구군 정중앙로 39-0,카페/찻집,16
81,샤브향양구점,강원 양구군 양남로16번길 3-0,전문음식,16
82,그집막국수,강원 양구군 구암리길 14-14,한식,16
83,육공판양구점,강원 양구군 관공서로43번길 12-0,한식,16
84,별채막국수,강원 양구군 비봉로 99-6,한식,15
85,샬롬돈가스,강원 양구군 중앙길 36-1,전문음식,15
86,한국순대양구점,강원 양구군 비봉로 80-10,한식,15
87,해바라기식당,강원 양구군 펀치볼로 65-0,한식,14
88,북경[중식],강원 양구군 택지길 74-13,외국식,14
89,가든박가네,강원 양구군 펀치볼로 271-7,한식,14
90,종합닭갈비,강원 양구군 중심로 159-0,전문음식,13
91,피자스쿨양구점,강원 양구군 사명길 118-17,간이음식,13
92,제주도생고기,강원 양구군 관공서로 49-7,한식,13
