순위,업소명,주소,분류,현지인 검색 수
1,송추가마골본관,경기 양주시 호국로 525-0,한식,16478
2,밀밭칼국수2호점,경기 양주시 청담로 231-0,한식,11624
3,맥도날드양주덕계DT점,경기 양주시 평화로 1511-0,간이음식,10012
4,돈까스클럽양주본점,경기 양주시 만송로 291-0,전문음식,9955
5,자반고,경기 양주시 광사로 152-0,한식,7677
6,윤쉐프정직한제빵소,경기 양주시 광사로 158-0,간이음식,7002
7,버거킹양주고읍DT점,경기 양주시 고덕로 363-0,간이음식,6435
8,브루다양주,경기 양주시 권율로 909-0,카페/찻집,5722
9,스타벅스양주고읍DT점,경기 양주시 고덕로 351-0,카페/찻집,4983
10,파머스빌리지플러스양주점,경기 양주시 청담로84번길 36-50,카페/찻집,4761
11,우일면옥신관,경기 양주시 송랑로 116-32,한식,4665
12,스시노칸도양주점,경기 양주시 회천남로 76-0,외국식,4196
13,오랑주리,경기 양주시 기산로 423-19,카페/찻집,4045
14,별미지교양주점,경기 양주시 고덕로 303-0,전문음식,4004
15,스타벅스양주덕정역DT점,경기 양주시 독바위로 35-0,카페/찻집,3721
16,용암리막국수,경기 양주시 평화로1889번길 46-12,한식,3700
17,곽만근갈비탕양주점,경기 양주시 고삼로 7-0,한식,3502
18,소담촌옥정신도시점,경기 양주시 옥정로 226-0,전문음식,3411
19,모어그린베이커리카페,경기 양주시 권율로 246-0,간이음식,3346
20,스타벅스양주옥정타운점,경기 양주시 회천남로 76-0,카페/찻집,3158
21,밀곳,경기 양주시 광사로 148-0,한식,3154
22,송추가마골신관,경기 양주시 호국로527번길 11-10,한식,3120
23,로슈아커피,경기 양주시 광사로 145-0,카페/찻집,3053
24,스타벅스양주광사DT점,경기 양주시 부흥로 1872-0,카페/찻집,3017
25,까사338,경기 양주시 삼숭로58번길 57-0,전문음식,2884
26,이디야커피옥정호수공원점,경기 양주시 옥정동로 187-0,카페/찻집,2861
27,SUBWAY양주옥정점,경기 양주시 옥정로 214-0,간이음식,2780
28,성북돈까스,경기 양주시 부흥로1398번길 81-7,전문음식,2756
29,송추가마골양주회천점,경기 양주시 독바위로 81-0,한식,2744
30,미리내들밥,경기 양주시 만삼로 228-0,한식,2740
31,강경불고기양주점,경기 양주시 송랑로 108-0,한식,2691
32,박승광해물손칼국수양주직영점,경기 양주시 부흥로 2169-0,한식,2658
33,코지하우스양주점,경기 양주시 부흥로 2111-0,전문음식,2602
34,밀밭칼국수,경기 양주시 덕정6길 45-0,한식,2517
35,스타벅스양주옥정공원점,경기 양주시 옥정동로7길 30-0,카페/찻집,2507
36,새싹정원양주옥정점,경기 양주시 율정로 346-0,전문음식,2488
37,양주골신쭈꾸,경기 양주시 어하고개로 66-0,한식,2450
38,황부자감자탕,경기 양주시 송랑로 55-0,한식,2400
39,막줄래국시,경기 양주시 마전로118번길 17-0,한식,2350
40,오라힐스,경기 양주시 청담로243번길 163-0,카페/찻집,2349
41,덕화원[중식],경기 양주시 덕정길 4-0,외국식,2277
42,태풍인의집,경기 양주시 삼육사로 491-0,한식,2244
43,대박오리,경기 양주시 어하고개로 130-0,전문음식,2236
44,버거킹양주덕정FS점,경기 양주시 독바위로 22-0,간이음식,2175
45,우일면옥,경기 양주시 청담로84번길 231-19,한식,2096
46,솔밭집생선구이,경기 양주시 부흥로2092번길 63-16,한식,2088
47,정뜰순대국,경기 양주시 옥정동로5길 32-0,한식,2059
48,이차돌양주옥정지구점,경기 양주시 옥정로 196-0,한식,2026
49,AAA베이커리카페,경기 양주시 양주산성로164번길 95-0,간이음식,2018
50,스푼더마켓양주옥정점,경기 양주시 옥정동로7가길 44-0,전문음식,1978
51,늘푸른칼국수,경기 양주시 어하고개로 94-0,한식,1919
52,버터우드,경기 양주시 부흥로 1373-41,간이음식,1912
53,천안문[중식],경기 양주시 개나리5길 3-0,외국식,1909
54,개성손만두양주점,경기 양주시 어하고개로 24-0,한식,1888
55,올리앤양주고읍점,경기 양주시 고읍북로 107-1,외국식,1858
56,열정김밥,경기 양주시 옥정동로5마길 10-12,간이음식,1799
57,모밥가,경기 양주시 송랑로 212-0,한식,1780
58,중원해물모듬짬뽕[중식],경기 양주시 삼육사로404번길 8-3,외국식,1763
59,스타벅스양주회정DT점,경기 양주시 평화로 1687-0,카페/찻집,1665
59,만족369족발,경기 양주시 부흥로 2061-24,전문음식,1665
61,소플러스양주점,경기 양주시 부흥로 2074-0,한식,1664
62,장어천국,경기 양주시 어하고개로 5-0,전문음식,1630
63,동두천호수부대찌개덕정점,경기 양주시 화합로 1414-0,전문음식,1626
64,트레든베이커리카페,경기 양주시 어하고개로 141-0,카페/찻집,1625
64,브런치빈양주옥정점,경기 양주시 옥정로 196-0,전문음식,1625
66,콩단비,경기 양주시 삼일로 483-0,카페/찻집,1623
67,카페요기,경기 양주시 광적로 293-0,카페/찻집,1579
68,진흥관[중식],경기 양주시 호국로 550-0,외국식,1557
69,왕가짬뽕본점 [중식],경기 양주시 송랑로 77-0,외국식,1547
70,폴콘양주점,경기 양주시 꿈나무로 171-0,간이음식,1535
71,오봉집양주옥정점,경기 양주시 옥정동로7가길 10-0,한식,1488
72,고우시,경기 양주시 고삼로 3-0,외국식,1483
73,전라도여수식당,경기 양주시 송랑로 81-0,전문음식,1469
74,스타벅스양주송추DT점,경기 양주시 호국로 528-0,카페/찻집,1457
75,리후캠핑식당,경기 양주시 평화로1475번길 214-15,한식,1444
76,섬진강메기매운탕,경기 양주시 북한산로 778-6,한식,1439
77,숲길정원,경기 양주시 일영로 346-26,카페/찻집,1433
78,도미노피자양주고읍점,경기 양주시 고읍로 151-0,간이음식,1413
79,오핀베이커리,경기 양주시 호국로527번길 17-0,간이음식,1412
80,강경숯불바베큐양주점,경기 양주시 삼일로 123-74,한식,1404
81,봉암식당,경기 양주시 봉암길 17-0,한식,1373
82,덕고개정육식당양주본점,경기 양주시 부흥로 2194-27,한식,1363
83,KFC양주고읍점,경기 양주시 고읍남로 24-0,간이음식,1347
84,투썸플레이스양주옥정점,경기 양주시 회천남로 88-0,카페/찻집,1320
85,나들이본점 [한식],경기 양주시 송랑로89번길 8-0,한식,1305
86,밀땅닭칼국수,경기 양주시 원골로 129-0,한식,1275
87,투썸플레이스양주고덕로점,경기 양주시 고덕로 253-0,카페/찻집,1265
