순위,업소명,주소,분류,현지인 검색 수
1,스타벅스더양평DTR점,경기 양평군 양근로 76-0,카페/찻집,8821
2,테라로사서종점,경기 양평군 북한강로 992-0,카페/찻집,5680
3,양평고바우설렁탕원조,경기 양평군 은고갯길 3-0,한식,5245
4,개군할머니토종순대국,경기 양평군 하자포길 29-0,한식,5053
5,칸트의마을,경기 양평군 강남로 102-10,카페/찻집,3664
6,구벼울,경기 양평군 남한강변길 123-19,카페/찻집,3633
7,더그림,경기 양평군 사나사길 175-0,카페/찻집,3285
8,양평신내서울해장국본점,경기 양평군 신내길 16-0,한식,3089
9,계정횟집,경기 양평군 양서북로 666-13,전문음식,3084
10,스타벅스경기양평점,경기 양평군 시민로 75-0,카페/찻집,2979
11,하우스베이커리,경기 양평군 북한강로 684-0,간이음식,2830
12,옥천냉면황해식당본점,경기 양평군 고읍로 140-0,한식,2744
13,수수카페,경기 양평군 북한강로89번길 16-0,카페/찻집,2463
14,박승광해물손칼국수서종직영점,경기 양평군 북한강로 962-0,한식,2338
15,두물머리연핫도그,경기 양평군 두물머리길 103-8,간이음식,2306
16,돗가비불쭈꾸미,경기 양평군 용문산로 207-0,전문음식,2153
17,그린망고,경기 양평군 개군산로 32-0,카페/찻집,2100
18,양수리빵공장,경기 양평군 양수로118번길 9-0,간이음식,1893
19,내추럴가든529,경기 양평군 내수입길 108-8,카페/찻집,1882
20,국수리국수집,경기 양평군 경강로 1061-0,한식,1846
21,문릿,경기 양평군 덕촌길 101-0,카페/찻집,1703
22,몽실면당,경기 양평군 신복길 15-0,한식,1653
23,예지현[중식],경기 양평군 관문길8번길 7-0,외국식,1567
24,참좋은생각[한식],경기 양평군 수대골길 45-0,한식,1559
25,어무이맛양평해장국,경기 양평군 마유산로 34-0,한식,1500
26,투썸플레이스양평오빈점,경기 양평군 경강로 1663-0,카페/찻집,1400
27,블랙밤부,경기 양평군 꽃대울2길 39-2,외국식,1392
28,몽키가든,경기 양평군 황순원로 91-2,외국식,1383
29,개군면해물칼국수,경기 양평군 개군로 242-0,한식,1382
30,연꽃언덕,경기 양평군 용늪언덕길 57-0,한식,1373
31,용두리짬뽕전문점본점 [중식],경기 양평군 용두로 148-0,외국식,1372
32,문리버,경기 양평군 전의1길 8-0,전문음식,1345
33,양평칼국수,경기 양평군 양근로137번길 12-0,한식,1337
34,옥천고읍냉면,경기 양평군 옥천길98번길 6-0,한식,1333
35,예사랑,경기 양평군 용천로 333-0,한식,1307
36,카페리노,경기 양평군 양수로152번길 32-1,카페/찻집,1305
37,핏제리아루카,경기 양평군 용문산로 234-0,전문음식,1265
38,도미노피자양평점,경기 양평군 중앙로 63-0,간이음식,1234
38,원조양평해장국,경기 양평군 중앙로 63-0,한식,1234
40,흑유재,경기 양평군 신내길7번길 36-0,카페/찻집,1229
41,버거킹경기양평점,경기 양평군 양평시장길18번길 1-0,간이음식,1226
42,대디스바베큐,경기 양평군 옥천문화마을3길 15-24,전문음식,1182
43,고등어사랑,경기 양평군 강남로 1141-0,한식,1171
44,투썸플레이스서종리버사이드점,경기 양평군 북한강로 983-0,카페/찻집,1165
45,양수리한옥집,경기 양평군 양수로138번길 41-0,한식,1087
46,수반쭈꾸미,경기 양평군 중앙로37번길 3-0,전문음식,1067
47,달소미카페,경기 양평군 신복복동길 20-17,카페/찻집,1046
48,헤리베르,경기 양평군 산수로 3096-0,전문음식,1021
49,강이다,경기 양평군 북한강로81번길 23-0,카페/찻집,1014
50,문호리팥죽본점,경기 양평군 북한강로 641-0,간이음식,1007
51,신복리709카페,경기 양평군 신복동촌길14번길 26-10,카페/찻집,1006
52,명륜진사갈비경기양평점,경기 양평군 양근로 75-0,한식,985
53,플로라늘카페,경기 양평군 용문산로 133-0,카페/찻집,970
54,몽실식당,경기 양평군 양평장터길 9-1,한식,956
54,중미산막국수,경기 양평군 마유산로 586-0,한식,956
56,가소담,경기 양평군 충신로 172-0,카페/찻집,933
57,오리학교,경기 양평군 수대울길 176-0,전문음식,911
58,옥천냉면황해식당,경기 양평군 경강로 1493-12,한식,900
59,메밀가본점,경기 양평군 단월로 408-0,한식,890
60,우가현,경기 양평군 지례1길 66-19,한식,888
60,용문산빵공장,경기 양평군 용문산로 235-0,간이음식,888
62,양평강상고바우설렁탕,경기 양평군 강남로 667-0,한식,887
63,백안리커피,경기 양평군 백안길 84-0,카페/찻집,884
64,수제버거924,경기 양평군 중앙로167번길 48-8,간이음식,876
65,쉐즈롤,경기 양평군 낙촌길 7-7,간이음식,871
66,나인블럭서종점,경기 양평군 중미산로 47-0,카페/찻집,869
67,회령손만두국,경기 양평군 용문로 829-0,한식,858
68,한강민물장어,경기 양평군 양수로138번길 9-0,전문음식,850
69,용문산천년짬뽕양평을닮다[중식],경기 양평군 용문산로 404-0,외국식,833
70,신라한정식부페[한식],경기 양평군 양근로 79-0,한식,832
71,히베이라,경기 양평군 경강로 1747-0,전문음식,811
72,배스킨라빈스양평시장점,경기 양평군 양평시장길 2-0,간이음식,808
73,롯데리아양평점,경기 양평군 역전길 3-0,간이음식,792
74,제일식당,경기 양평군 용문로 346-2,한식,789
75,파육칼,경기 양평군 물안개공원길 51-0,한식,786
76,좋은아침페스츄리양평점,경기 양평군 마유산로 197-0,간이음식,782
77,녹수청산,경기 양평군 대평로 108-0,한식,758
78,카페무르,경기 양평군 강남로 379-0,카페/찻집,757
79,용문산보리밥,경기 양평군 조계골길 79-1,한식,743
80,용칼국수,경기 양평군,한식,740
81,옥천함흥냉면본점,경기 양평군 북부길 18-0,한식,737
82,교촌치킨양평점,경기 양평군 시민로 44-0,간이음식,733
83,쏭바베큐본점,경기 양평군 강남로 520-0,전문음식,731
84,가든하다,경기 양평군 강남로 316-5,한식,727
85,사나산아,경기 양평군 사나사길 63-3,한식,718
86,홍춘관[중식],경기 양평군 한빛길 4-0,외국식,717
87,앤드유서종제빵소,경기 양평군 북한강로 1079-0,전문음식,712
88,소근리막국수,경기 양평군 소구니2길 5-0,한식,708
