순위,업소명,주소,분류,현지인 검색 수
1,삼청동수제비본점,서울 종로구 삼청로 101-1,한식,3605
2,토속촌삼계탕,서울 종로구 자하문로5길 5-0,한식,3517
3,북악정,서울 종로구 평창36길 6-0,한식,2907
4,평창동의봄,서울 종로구 평창20길 41-0,전문음식,2110
5,더숲초소책방,서울 종로구 인왕산로 172-0,카페/찻집,1996
6,하림각[중식],서울 종로구 자하문로 255-0,외국식,1917
7,아델라베일리,서울 종로구 북악산로 48-0,전문음식,1909
8,구기동오면,서울 종로구 진흥로 455-0,한식,1907
9,스타벅스스페이스본점,서울 종로구 사직로8길 4-0,카페/찻집,1820
10,자하손만두,서울 종로구 백석동길 12-0,한식,1567
11,런던베이글뮤지엄안국점,서울 종로구 북촌로4길 20-0,간이음식,1551
12,석파랑[한식],서울 종로구 자하문로 309-0,한식,1516
13,산모퉁이,서울 종로구 백석동길 153-0,카페/찻집,1399
14,스타벅스종로평창동점,서울 종로구 평창12길 3-0,카페/찻집,1214
15,계열사,서울 종로구 백석동길 7-0,간이음식,1122
16,경복궁관훈점,서울 종로구 인사동5길 38-0,한식,1039
17,스태픽스,서울 종로구 사직로9길 22-0,카페/찻집,987
18,몽중헌안국점,서울 종로구 북촌로 31-22,외국식,947
19,대성집,서울 종로구 사직로 5-0,한식,922
20,더피아노,서울 종로구 평창6길 71-0,카페/찻집,905
21,효자베이커리,서울 종로구 필운대로 54-0,간이음식,903
22,진진수라광화문점 [한식],서울 종로구 종로5길 7-0,한식,854
23,메이탄종로점 [중식],서울 종로구 경교장1길 17-0,외국식,849
24,송추가마골인어반광화문점,서울 종로구 새문안로5길 31-0,한식,848
25,황생가칼국수,서울 종로구 북촌로5길 78-0,한식,847
26,진옥화할매원조닭한마리본점,서울 종로구 종로40가길 18-0,한식,833
27,혜화칼국수,서울 종로구 창경궁로35길 13-0,한식,801
28,애슐리퀸즈종각역점,서울 종로구 종로 51-0,전문음식,794
29,청진옥본점,서울 종로구 종로3길 32-0,한식,790
30,비스트로친친,서울 종로구 효자로13길 54-0,외국식,786
31,노티드안국,서울 종로구 북촌로 6-3,카페/찻집,785
32,깃대봉냉면,서울 종로구 지봉로12길 3-0,한식,772
33,광화문미진본점,서울 종로구 종로 19-0,한식,767
34,신성일식,서울 종로구 무교로 42-0,외국식,755
35,이문설농탕,서울 종로구 우정국로 38-13,한식,727
36,온지음[한식],서울 종로구 효자로 49-0,한식,695
37,장모님해장국,서울 종로구 진흥로 421-0,한식,686
38,대평갈비,서울 종로구 평창문화로 83-0,한식,668
39,디마떼오대학로점,서울 종로구 동숭길 29-0,간이음식,632
40,테르트르,서울 종로구 낙산5길 46-0,카페/찻집,618
40,나누미떡볶이성대본점,서울 종로구 성균관로 9-1,간이음식,618
42,길운구락부삼청점,서울 종로구 삼청로 119-0,외국식,595
43,부영도가니탕,서울 종로구 북촌로 141-0,한식,593
44,라그릴리아광화문점,서울 종로구 청계천로 11-0,전문음식,592
45,북악정신관,서울 종로구 평창문화로 169-0,한식,586
46,한일관광화문점,서울 종로구 종로1길 50-0,한식,585
47,스타벅스적선점,서울 종로구 새문안로5길 55-0,카페/찻집,583
48,자하싸리집,서울 종로구 진흥로 463-0,한식,554
49,핏제리아오,서울 종로구 동숭길 86-0,간이음식,540
50,낙산냉면,서울 종로구 지봉로5길 8-0,한식,537
51,하이디라오대학로점,서울 종로구 대학로 146-0,외국식,527
51,쉐이크쉑종각점,서울 종로구 종로 33-0,간이음식,527
53,아키비스트,서울 종로구 효자로13길 52-0,카페/찻집,512
54,블루보틀삼청카페,서울 종로구 북촌로5길 76-0,카페/찻집,511
55,몽핀,서울 종로구 자하문로 307-0,간이음식,500
56,ground62,서울 종로구 평창길 62-0,카페/찻집,499
57,스미스가좋아하는한옥,서울 종로구 삼청로 22-7,전문음식,484
58,강촌쌈밥평창점,서울 종로구 평창30길 9-0,한식,479
59,네네치킨종로점,서울 종로구 수표로26길 12-0,간이음식,470
60,어니언안국점,서울 종로구 계동길 5-0,카페/찻집,462
61,클럽에스프레소,서울 종로구 창의문로 132-0,카페/찻집,448
62,슬로우파크,서울 종로구 삼청로 141-0,카페/찻집,437
63,제주면장평창점,서울 종로구 평창문화로 72-10,한식,436
64,테라로사광화문지점,서울 종로구 종로1길 50-0,카페/찻집,433
