순위,업소명,주소,분류,현지인 검색 수
1,또순이네,서울 영등포구 선유로47길 16-0,한식,10103
2,강강술래당산점,서울 영등포구 선유로 251-0,한식,5851
3,원조호수삼계탕본점,서울 영등포구 도림로 276-0,한식,5549
4,신풍낙지,서울 영등포구 대림로 220-0,전문음식,3659
5,정인면옥,서울 영등포구 국회대로76길 10-0,한식,3388
6,코끼리베이글,서울 영등포구 선유로 176-0,간이음식,3228
7,63뷔페파빌리온,서울 영등포구 63로 50-0,전문음식,3052
8,진주집,서울 영등포구 국제금융로6길 33-0,한식,2761
9,화목순대국,서울 영등포구 여의대방로 383-0,한식,2586
10,세상의모든아침,서울 영등포구 여의대로 24-0,전문음식,2564
11,훈장골신길점,서울 영등포구 도신로49길 3-0,한식,2444
12,하이디라오영등포점,서울 영등포구 경인로 870-0,외국식,2182
13,영일분식,서울 영등포구 도림로141가길 34-1,한식,2128
14,파라다이스,서울 영등포구 여의동로 252-0,외국식,1910
15,드롭탑서여의도점,서울 영등포구 국회대로70길 7-0,카페/찻집,1904
16,흑돈가여의도직영점,서울 영등포구 여의대방로69길 23-0,한식,1841
17,가양칼국수버섯매운탕,서울 영등포구 국제금융로 78-0,한식,1706
18,푸주옥,서울 영등포구 대림로 171-0,한식,1691
19,쉐프조문래본점,서울 영등포구 문래로 98-0,간이음식,1661
20,가족천하,서울 영등포구 가마산로 330-0,한식,1627
21,청수,서울 영등포구 국제금융로 112-0,외국식,1582
22,하동관국회의사당역직영점,서울 영등포구 은행로 3-0,한식,1575
23,동해도본점,서울 영등포구 은행로 25-0,외국식,1556
24,경복궁당산점,서울 영등포구 국회대로 539-0,한식,1555
25,송추가마골인어반영등포점,서울 영등포구 문래로28길 25-0,한식,1549
26,복만루[중식],서울 영등포구 디지털로 346-0,외국식,1530
27,3일한우국밥영등포본점,서울 영등포구 영등포로 204-0,한식,1496
28,능이버섯백숙,서울 영등포구 선유로 32-0,한식,1494
29,골목집,서울 영등포구 도림로139가길 11-0,전문음식,1418
30,오복수산여의도점,서울 영등포구 국제금융로2길 17-0,외국식,1405
31,삼거리먼지막순대국,서울 영등포구 시흥대로185길 11-0,한식,1396
32,문래돼지불백영등포직영점,서울 영등포구 영중로 77-0,한식,1392
33,양고바우설렁탕본점,서울 영등포구 도림로 272-0,한식,1389
34,소담촌오목교점,서울 영등포구 영등포로 21-0,전문음식,1368
35,유미분김밥소정담본점,서울 영등포구 당산로40길 16-0,간이음식,1366
36,운산[한식],서울 영등포구 여의공원로 101-0,한식,1353
37,이한스시,서울 영등포구 선유로22길 3-0,외국식,1294
38,화사랑화로구이문래점,서울 영등포구 선유로9가길 16-0,한식,1283
39,소호정여의도점,서울 영등포구 국회대로 800-0,한식,1274
40,앤티크커피영등포구청점,서울 영등포구 국회대로29길 6-0,카페/찻집,1200
41,W페스타영등포점,서울 영등포구 국회대로 543-0,전문음식,1197
42,은성회관,서울 영등포구 여의대방로65길 12-0,한식,1190
43,값진식육,서울 영등포구 선유로 58-4,한식,1135
44,뚜스뚜스선유도점,서울 영등포구 양평로 132-0,전문음식,1115
45,라크라센타,서울 영등포구 문래로 92-5,카페/찻집,1088
46,레어그루브,서울 영등포구 영등포로62길 2-0,카페/찻집,1070
47,브로트아트,서울 영등포구 국제금융로7길 3-0,카페/찻집,1046
48,러스트베이커리,서울 영등포구 경인로79길 15-0,간이음식,1039
49,진진2호점,서울 영등포구 국회대로72길 11-0,한식,1035
50,창고43여의도본점,서울 영등포구 국제금융로6길 33-0,한식,1032
51,공주칼국수,서울 영등포구 도림천로11길 1-0,한식,1019
52,화수목[한식],서울 영등포구 선유로 49-0,한식,1014
53,고봉삼계탕여의도점,서울 영등포구 국회대로72길 5-0,한식,1008
54,타코벨여의도메리츠점,서울 영등포구 국제금융로2길 11-0,외국식,980
55,대한옥설렁탕,서울 영등포구 영등포로51길 6-0,한식,980
56,올라여의도파크센터점,서울 영등포구 여의대로 8-0,외국식,966
57,이조보쌈,서울 영등포구 당산로 244-0,전문음식,961
58,그믐족발,서울 영등포구 경인로79길 21-0,전문음식,925
59,폰트문래점,서울 영등포구 경인로77가길 6-0,카페/찻집,925
60,문래돼지불백본점,서울 영등포구 당산로 2-1,한식,912
61,플로렌스파티하우스오목교점,서울 영등포구 영등포로 33-0,전문음식,911
62,아리수만찬,서울 영등포구 노들로 111-0,한식,910
63,당산오돌본점,서울 영등포구 국회대로37길 6-0,한식,908
64,올라여의도KBS점,서울 영등포구 의사당대로 38-0,외국식,882
65,송죽장[중식],서울 영등포구 문래로 203-0,외국식,878
66,라메흐꺄도,서울 영등포구 선유로17길 24-0,전문음식,876
67,오발탄여의도점,서울 영등포구 여의대방로65길 20-0,한식,871
68,청기와타운,서울 영등포구 영중로10길 32-4,한식,866
69,어라운지선유도점,서울 영등포구 양평로28마길 9-0,카페/찻집,861
70,모던눌랑여의도점 [중식],서울 영등포구 국제금융로8길 31-0,외국식,859
71,창고43샛강점,서울 영등포구 여의대방로 376-0,한식,839
72,이도맨숀,서울 영등포구 국회대로 794-0,한식,838
73,일심해장국,서울 영등포구 도신로 55-0,한식,828
74,하롱베이의하루여의도본점,서울 영등포구 의사당대로 38-0,외국식,818
75,삿뽀로당산점,서울 영등포구 국회대로 539-0,외국식,814
76,청기와타운여의도점,서울 영등포구 국회대로74길 9-0,한식,811
77,소담촌보라매역점,서울 영등포구 신풍로 118-0,전문음식,807
78,모던샤브하우스여의도점,서울 영등포구 국제금융로8길 31-0,전문음식,806
79,비둘기집,서울 영등포구 도신로 106-0,전문음식,782
