순위,업소명,주소,분류,현지인 검색 수
1,송림식당[한식],서울 광진구 자양번영로 79-0,한식,5168
2,함흥본가면옥,서울 광진구 광나루로 456-0,한식,3627
3,신토불이떡볶이본점,서울 광진구 자양로43길 42-0,간이음식,2723
4,피자힐,서울 광진구 워커힐로 177-0,간이음식,2206
5,멕시칼리,서울 광진구 능동로36길 181-0,외국식,2187
6,망향비빔국수광진구점,서울 광진구 천호대로 694-0,한식,1789
7,청와옥군자역직영점,서울 광진구 천호대로 562-0,한식,1770
8,가온,서울 광진구 아차산로78길 75-0,한식,1477
9,장군갈비,서울 광진구 용마산로 11-0,한식,1476
10,명월관,서울 광진구 워커힐로 177-0,한식,1185
11,원조할아버지손두부,서울 광진구 자양로 324-0,한식,1130
12,소문난숯불구이,서울 광진구 자양번영로 28-0,한식,1102
13,르뱅포레,서울 광진구 아차산로 639-0,외국식,1096
14,라구뜨,서울 광진구 능동로 90-0,전문음식,1068
15,짬뽕지존아차산역점 [중식],서울 광진구 천호대로 682-0,외국식,1039
16,메이탄구의점 [중식],서울 광진구 광나루로 590-0,외국식,1024
17,보난자커피군자점,서울 광진구 능동로 239-0,카페/찻집,997
18,대가식당,서울 광진구 광나루로 596-0,한식,992
19,신선설농탕자양점,서울 광진구 자양로 139-0,한식,973
20,줄줄이김밥,서울 광진구 구의로12길 4-0,간이음식,952
21,도시피자,서울 광진구 자양로 181-0,간이음식,943
22,도치피자강변점,서울 광진구 아차산로62길 14-4,간이음식,933
23,모두랑,서울 광진구 자양로28길 24-0,간이음식,863
24,영미오리탕,서울 광진구 동일로60길 53-0,한식,856
25,바르미샤브샤브앤칼국수구의점,서울 광진구 아차산로 471-0,전문음식,854
26,범가[중식],서울 광진구 광장로 58-1,외국식,820
27,종로상회동서울본사직영점,서울 광진구 광나루로 619-0,한식,808
28,서북면옥,서울 광진구 자양로 199-1,한식,792
29,등촌샤브칼국수자양점,서울 광진구 자양번영로 84-1,한식,769
30,하이디라오건대지점,서울 광진구 능동로 110-0,외국식,763
31,마루샤브아차산점,서울 광진구 천호대로 633-0,전문음식,756
32,뽀빠이기사식당,서울 광진구 긴고랑로 17-1,한식,742
33,신선설농탕광나루역점,서울 광진구 천호대로 813-0,한식,735
34,호야본점,서울 광진구 능동로13길 39-0,외국식,731
35,후문카페,서울 광진구 능동로36길 183-0,카페/찻집,721
36,콩예원,서울 광진구 아차산로78길 75-0,한식,718
37,양촌리생삼겹살,서울 광진구 아차산로 482-0,한식,716
38,힘찬갯벌낙지,서울 광진구 능동로37길 6-0,전문음식,694
39,커피빈구의삼성쉐르빌점,서울 광진구 구의강변로 106-0,카페/찻집,691
40,우성식당,서울 광진구 자양번영로 60-0,한식,686
41,마루샤브구의점,서울 광진구 아차산로 355-0,전문음식,676
42,크래버대게나라광장점,서울 광진구 천호대로 611-0,전문음식,649
43,송화산시도삭면,서울 광진구 뚝섬로27길 48-0,외국식,646
44,카페오로시,서울 광진구 자양로 131-0,카페/찻집,630
45,원조남원추어탕숙회,서울 광진구 동일로 114-0,한식,625
46,설빙세종대점,서울 광진구 광나루로 382-0,카페/찻집,625
47,삼백집건대점,서울 광진구 아차산로 350-0,한식,602
48,37.5광진점,서울 광진구 아차산로76가길 5-0,전문음식,600
49,이화만두,서울 광진구 능동로 278-1,한식,598
50,모모랑라이더카페,서울 광진구 동일로 341-0,카페/찻집,595
51,고고기,서울 광진구 아차산로 471-0,한식,591
52,과일에반하다프루타건대점,서울 광진구 동일로22길 31-0,카페/찻집,581
53,미스터피자아차산점,서울 광진구 천호대로 647-0,간이음식,575
54,스시텐강변점,서울 광진구 구의강변로 86-0,외국식,574
55,장순루[중식],서울 광진구 아차산로76길 11-0,외국식,567
56,무교동낙지구의점,서울 광진구 아차산로 464-0,전문음식,556
57,카페드노보,서울 광진구 아차산로78길 157-0,카페/찻집,555
58,썬더치킨구의점,서울 광진구 구의로 42-0,간이음식,545
59,건대우동집,서울 광진구 아차산로 201-0,외국식,545
60,소담촌아차산역점,서울 광진구 용마산로 10-0,전문음식,544
61,최고집풍천장어,서울 광진구 아차산로51길 79-0,전문음식,536
62,중일가든,서울 광진구 아차산로76가길 4-0,한식,534
63,팀스쿡,서울 광진구 광나루로50길 10-0,외국식,519
64,매화반점건대점 [중식],서울 광진구 동일로18길 96-0,외국식,494
65,선남SEA,서울 광진구 자양번영로 62-0,외국식,485
66,체리커피,서울 광진구 능동로 284-0,카페/찻집,482
67,더뷔페,서울 광진구 워커힐로 177-0,전문음식,473
68,담소소사골순대육개장광나루점,서울 광진구 천호대로 799-0,한식,472
69,은행나무집,서울 광진구 아차산로69길 20-0,한식,460
70,서울편백찜광장점,서울 광진구 광장로 83-0,한식,455
71,유일설렁탕,서울 광진구 용마산로 154-0,한식,443
72,채선당광장점,서울 광진구 아차산로 563-0,전문음식,440
73,송쉐프구의점 [중식],서울 광진구 아차산로 355-0,외국식,438
74,뽕사부건대점 [중식],서울 광진구 아차산로 205-0,외국식,436
75,이이요[일식],서울 광진구 능동로32길 6-0,외국식,432
76,스시토푸,서울 광진구 아차산로 612-0,외국식,430
77,최원석의돼지한판&서해쭈꾸미광장점,서울 광진구 아차산로 478-0,한식,424
78,명가순대국,서울 광진구 광나루로 621-0,한식,420
79,도톰,서울 광진구 능동로 386-0,한식,417
