순위,업소명,주소,분류,현지인 검색 수
1,더자반본점,전남 영암군 난전로 83-0,한식,2160
2,월요,전남 영암군 학암길 9-11,카페/찻집,1468
3,수연식당,전남 영암군 용당로 84-0,한식,908
4,수궁한정식[한식],전남 영암군 용당로 80-1,한식,808
5,독천식당,전남 영암군 독천로 162-2,전문음식,687
6,영암매력한우참숯직화구이명품관,전남 영암군 녹색로 592-0,한식,523
7,미술관아래,전남 영암군 왕인로 710-30,카페/찻집,480
8,금동숯불구이식육식당,전남 영암군,한식,466
9,종원식육식당,전남 영암군 세가래2길 26-17,한식,463
10,피크니처,전남 영암군 천황사로 280-25,카페/찻집,424
11,복자네맛집,전남 영암군 소등공원1길 8-0,한식,366
12,꽁트드페,전남 영암군 녹색로 641-0,전문음식,346
13,월암당,전남 영암군 천황사로 238-0,음식점기타,323
14,엄마쌈밥,전남 영암군 예향로 2695-0,한식,317
15,돌쇠정본점,전남 영암군 녹색로 1538-0,한식,307
16,진국명가,전남 영암군 영암로 1177-0,한식,306
17,청하식당,전남 영암군 독천로 170-1,전문음식,305
18,새실오브앰비언스,전남 영암군 천황사로 99-0,카페/찻집,303
19,언덕위에하얀집,전남 영암군 여운재로 565-0,한식,292
20,풍차,전남 영암군 여운재로 996-0,한식,282
21,코코독스애견카페,전남 영암군 삼포로 181-0,카페/찻집,255
22,영암기찬메밀,전남 영암군 영암로 1588-0,한식,239
23,국사봉식당,전남 영암군 용두로 10-1,간이음식,228
24,호남식당,전남 영암군 도갑사로 80-10,한식,210
24,월출산이야기,전남 영암군 구림로 43-24,한식,210
26,라운지붐,전남 영암군 녹색로 609-0,전문음식,201
27,미도반점[중식],전남 영암군 대불주거7로11길 12-0,외국식,185
28,금정농협한우프라자,전남 영암군 용두로 54-0,한식,184
29,삼호벌교꼬막,전남 영암군 대불주거5로2길 15-0,한식,183
30,하와이,전남 영암군 신호정길 17-0,카페/찻집,181
31,목원가든,전남 영암군 평리길 99-31,한식,176
32,쉘브르,전남 영암군 용당로 309-0,카페/찻집,175
33,왕벚165,전남 영암군 왕인로 165-0,한식,168
34,전통나주곰탕원조집윤미경1호집,전남 영암군 삼호중앙로 189-0,한식,161
35,독천낙지마당,전남 영암군 영산로 15-0,전문음식,157
36,영빈관,전남 영암군 웃시암길 8-0,한식,150
37,이디야커피영암점,전남 영암군 동문안1길 7-6,카페/찻집,147
38,독천낙지음식명소거리,전남 영암군 독천로 0-0,음식점기타,146
39,구림갈비,전남 영암군 도갑사로 80-22,한식,136
40,맛나감자탕삼호점,전남 영암군 대불주거로 145-0,한식,131
41,구림짬뽕[중식],전남 영암군 정자등길 17-10,외국식,130
42,매력한우기찬랜드명품관,전남 영암군 기찬랜드로 17-0,한식,127
43,흙이야기,전남 영암군 용당로 34-0,전문음식,126
43,새림정,전남 영암군 대불주거7로3길 23-0,한식,126
45,영암갈낙탕거리,전남 영암군,음식점기타,122
46,이디야커피영암삼호점,전남 영암군 대불주거로 211-0,카페/찻집,121
47,영산호음식백화점,전남 영암군 나불외도로 13-13,한식,119
48,독천갈낙탕,전남 영암군 영산로 12-10,한식,118
48,삼락정랜드,전남 영암군 학계길 93-0,한식,118
50,공항가든,전남 영암군 용당로 282-0,한식,114
51,메가커피영암삼호점,전남 영암군 대불주거로 171-0,카페/찻집,110
52,우정회관,전남 영암군 낭주로 79-0,한식,107
53,구림식당,전남 영암군 영산로 12-14,한식,103
54,명동식당,전남 영암군 소등공원1길 6-0,한식,102
54,교촌치킨삼호점,전남 영암군 대불주거로 118-0,간이음식,102
56,동락식당,전남 영암군 서문로 10-0,전문음식,98
57,달뜬콩두부,전남 영암군 녹색로 653-16,한식,92
58,남쪽향기,전남 영암군 왕인로 696-0,카페/찻집,90
59,국보966옛날두부,전남 영암군 영나로 23-0,한식,86
59,동원산삼농장,전남 영암군,한식,86
61,배스킨라빈스전남영암삼호점,전남 영암군 대불주거로 145-0,간이음식,85
62,롯데리아삼호한마음점,전남 영암군 신항로 63-12,간이음식,79
63,금동식육식당,전남 영암군 고분로 1003-0,한식,78
64,영암축협한우프라자,전남 영암군 월출로 6-0,한식,77
65,롯데리아대불점,전남 영암군 대불주거로 145-0,간이음식,76
66,카페무화,전남 영암군 녹색로 980-8,카페/찻집,74
66,대아정식당,전남 영암군 아산길 7-0,한식,74
68,고향산천,전남 영암군 정자등길 12-0,한식,72
69,신부크,전남 영암군 황금동로 47-12,카페/찻집,70
70,파리바게뜨삼호읍점,전남 영암군 대불주거로 54-0,간이음식,67
70,골탕마라탕,전남 영암군 대불주거1로13길 8-0,외국식,67
72,브런치 카페 여유,전남 영암군 독천로 110-0,전문음식,65
73,금동참숯화로구이,전남 영암군 금동길 2-1,한식,62
73,파주옥,전남 영암군 세가래로 91-18,한식,62
75,기찬밥상,전남 영암군 녹색로 828-0,한식,60
75,구림명가,전남 영암군 구림로 147-0,한식,60
77,금호관,전남 영암군 군청로 1-6,한식,56
78,파리바게뜨전남영암점,전남 영암군 중앙로 41-0,간이음식,55
79,삼시세끼,전남 영암군 소등로 151-0,한식,54
80,월출산산장식당[한식],전남 영암군 천황사로 280-28,한식,53
80,삼호반점[중식],전남 영암군 세가래1길 18-0,외국식,53
82,금호식육식당,전남 영암군 대불주거2로2길 7-12,한식,52
82,초수동순두부,전남 영암군 월산길 4-0,한식,52
84,춘하추동가든,전남 영암군 용당로 320-20,한식,51
84,옛터가든,전남 영암군 천황사로 357-2,한식,51
84,한국관,전남 영암군 열무정로 22-0,한식,51
84,카페베네전남영암점,전남 영암군 중앙로 36-0,카페/찻집,51
88,삼호가든,전남 영암군 대불주거1로1길 2-0,전문음식,50
89,중원회관,전남 영암군 군청로 2-11,한식,49
90,양지가든,전남 영암군 녹색로 1392-23,전문음식,48
90,남도손두부,전남 영암군 용당로 72-15,한식,48
90,하눌타리,전남 영암군 도갑사로 80-14,한식,48
93,고향식당,전남 영암군 용두로 13-2,한식,47
94,서해안쌈밥,전남 영암군 아산길 42-0,한식,45
95,낙지일번지,전남 영암군 독천로 174-0,전문음식,44
95,어바우,전남 영암군 탑동길 29-3,한식,44
97,맘스터치삼호현대점,전남 영암군 신항로 106-0,간이음식,43
98,김가네삼호대불산단점,전남 영암군 대불주거5로1길 3-0,간이음식,42
98,차담,전남 영암군 도갑사로 308-0,카페/찻집,42
100,국일관횟집,전남 영암군 열무정로 29-0,전문음식,39
