순위,업소명,주소,분류,현지인 검색 수
1,옥과한우촌,전남 곡성군 오산로 983-0,한식,2610
2,곡성가든,전남 곡성군 배감길 16-19,전문음식,1054
3,별천지가든,전남 곡성군 섬진강로 1266-0,한식,419
4,제일식당,전남 곡성군 기차마을로 143-0,한식,396
5,지리산가는길,전남 곡성군 대황강로 1334-0,전문음식,361
6,영일도라,전남 곡성군 기차마을로 260-0,카페/찻집,309
7,미실란밥카페반하다,전남 곡성군 섬진강로 2584-0,한식,298
8,동굴커피,전남 곡성군 침곡길 26-30,카페/찻집,289
9,섬진강민물장어,전남 곡성군 리문6길 32-0,전문음식,287
10,청계참다슬기,전남 곡성군 청계동로 409-0,한식,281
11,송원식당,전남 곡성군 리문4길 5-0,한식,275
12,원조미연복집,전남 곡성군 오산로 968-0,전문음식,231
13,삼화관광농원,전남 곡성군 입면로 208-0,전문음식,224
14,청솔가든,전남 곡성군 대황강로 1560-0,한식,196
15,곡성군압록통나무집,전남 곡성군 대황강로 1598-19,한식,159
16,송다원,전남 곡성군 가곡길 129-1,한식,158
17,씨엘로957,전남 곡성군 입면로 163-14,카페/찻집,152
18,돌실숯불회관,전남 곡성군 석곡로 52-1,한식,121
18,순한한우명품관,전남 곡성군 곡성로 856-0,한식,121
20,새수궁가든,전남 곡성군 섬진강로 1015-2,한식,120
21,메란명가곡성점,전남 곡성군 곡성로 822-0,한식,110
22,청이돈가스,전남 곡성군 곡성로 852-0,전문음식,109
23,백년가,전남 곡성군 옥과6길 9-0,카페/찻집,102
24,디트레인,전남 곡성군 기차마을로 260-0,간이음식,93
24,궁전회관[한식],전남 곡성군 중앙로 54-0,한식,93
26,용궁산장,전남 곡성군 대황강로 1598-17,한식,86
27,우리식당,전남 곡성군 석곡로 30-0,한식,79
28,함지박식당,전남 곡성군 리문6길 10-1,한식,77
29,두가헌,전남 곡성군 두계길 35-0,카페/찻집,76
30,석곡식당,전남 곡성군 석곡로 60-0,한식,74
30,소나무,전남 곡성군 대황강로 1343-1,카페/찻집,74
32,파리바게뜨전남곡성점,전남 곡성군 중앙로 93-0,간이음식,69
33,황금코다리곡성점,전남 곡성군 기차마을로 217-4,한식,67
33,나루터,전남 곡성군 하한길 3-0,한식,67
33,라이첸[중식],전남 곡성군 기차마을로 237-0,외국식,67
36,단편,전남 곡성군 기차마을로 202-0,카페/찻집,66
37,약대추산장,전남 곡성군 미산길 118-13,한식,62
38,광명숯불구이,전남 곡성군 리문5길 9-0,한식,60
39,소머리국밥,전남 곡성군 낙동원로 13-0,한식,55
40,이디야커피곡성점,전남 곡성군 곡성로 817-0,카페/찻집,54
40,롯데리아전남곡성점,전남 곡성군 곡성로 817-0,간이음식,54
42,기차마을가든[한식],전남 곡성군 기차마을로 233-0,한식,53
