순위,업소명,주소,분류,현지인 검색 수
1,키친205,전남 함평군 함평천우길 52-0,카페/찻집,1488
2,화랑식당,전남 함평군 시장길 96-0,한식,1130
3,인루트,전남 함평군 영산로 3280-0,카페/찻집,831
4,장안식당,전남 함평군 함평천우길 54-0,한식,638
5,전주식당,전남 함평군 신기산길 22-0,한식,463
6,함평천지한우프라자,전남 함평군 서부길 42-0,한식,429
7,목포식당,전남 함평군 시장길 32-0,한식,385
8,주포수산민물장어,전남 함평군 주포로 563-0,전문음식,380
9,향토,전남 함평군 밀재로 1866-23,한식,345
10,초록식당,전남 함평군 중앙길 96-7,한식,333
11,포베오커피,전남 함평군 주포로 395-0,카페/찻집,323
12,옥당기사식당,전남 함평군 함영로 1348-0,한식,306
13,대흥식당,전남 함평군 시장길 112-0,한식,254
14,선미식당[중식],전남 함평군 엄다길 62-0,외국식,252
15,정경복궁,전남 함평군 시장길 78-0,한식,215
16,모란정,전남 함평군 중앙길 32-10,한식,212
17,해월축산식육회관,전남 함평군 해삼로 367-0,한식,211
18,금송식육식당,전남 함평군 중앙길 54-11,한식,206
19,고기굽는사람들,전남 함평군 함영로 1012-0,한식,155
20,녹유원,전남 함평군 대동길 101-0,카페/찻집,155
21,월야88장어,전남 함평군 월야월봉길 61-6,전문음식,140
22,천지나비회관,전남 함평군 함영로 501-9,한식,138
23,물레식당,전남 함평군 백학길 164-0,한식,137
24,나비의꿈,전남 함평군 중앙길 106-0,한식,137
25,만석식당,전남 함평군 함장로 2139-0,전문음식,131
26,배스킨라빈스전남함평점,전남 함평군 영수길 181-0,간이음식,128
27,미양기사식당[한식],전남 함평군 함영로 1373-0,한식,120
28,메가커피전남함평점,전남 함평군 영수길 186-0,카페/찻집,101
29,영심이백반,전남 함평군 함영로 1393-0,한식,97
30,몽베르아틀리에,전남 함평군 둔기길 59-26,카페/찻집,86
31,빅토리아치킨,전남 함평군 밀재로 1515-1,간이음식,82
32,선유명가[한식],전남 함평군 중앙길 54-13,한식,79
33,진미복집,전남 함평군 학다리길 336-23,전문음식,72
34,다래가든[한식],전남 함평군 곤재로 210-0,한식,69
35,천지면옥,전남 함평군 함장로 1119-0,한식,69
36,반갑다돼지야,전남 함평군 영수길 192-0,한식,67
37,전원일기,전남 함평군 학동로 1398-14,한식,63
38,하여주가든,전남 함평군 함영로 2573-0,한식,60
39,나비골가든,전남 함평군 함장로 1131-0,한식,59
40,제일식당,전남 함평군 전하길 65-1,한식,56
41,초우회관,전남 함평군 함영로 506-0,한식,51
42,손맛불맛곱창,전남 함평군 장군로 1039-0,전문음식,49
43,석정,전남 함평군 석산로 60-0,한식,47
44,큰집나주곰탕,전남 함평군 영수길 217-1,한식,47
45,신흥상회,전남 함평군 석산로 68-0,전문음식,44
46,일공구횟집,전남 함평군 석산로 869-13,전문음식,44
47,함평돈까스,전남 함평군 영수길 227-0,전문음식,43
48,청진동국밥,전남 함평군 남일길 38-1,한식,37
49,함평천지민물장어,전남 함평군 영수길 104-0,전문음식,36
50,초가집,전남 함평군 용천사길 53-8,한식,33
51,돌머리횟집,전남 함평군 주포로 555-0,전문음식,32
52,함평흑염소식당,전남 함평군 서부길 94-43,한식,31
53,갈비명가,전남 함평군 영수길 115-0,한식,31
54,빽다방전남함평점,전남 함평군 중앙길 94-0,카페/찻집,30
55,고기짬뽕[중식],전남 함평군 영수길 274-0,외국식,27
56,소우대감,전남 함평군 광남길 54-0,한식,27
57,월야참숯불갈비,전남 함평군 순송길 5-0,한식,25
58,강운촌닭,전남 함평군 함장로 1625-17,한식,25
59,해물나라,전남 함평군 밀재로 1564-0,전문음식,24
60,소라식당,전남 함평군 밀재로 1288-0,한식,23
61,얌차반점함평점,전남 함평군 광남길 69-17,외국식,22
62,복명식당,전남 함평군 시장길 42-0,한식,22
63,안압지,전남 함평군 나산길 68-0,한식,20
64,문장기사님식당[한식],전남 함평군 밀재로 1244-0,한식,20
65,나비식당,전남 함평군 시장길 60-0,전문음식,20
66,초원식당,전남 함평군 학교화산길 79-0,한식,19
67,나비랑한우암소랑,전남 함평군 중앙길 61-0,한식,18
68,한우마을,전남 함평군 밀재로 1516-0,한식,18
69,돌머리수산,전남 함평군 중앙길 90-1,전문음식,18
70,송촌꼬마김밥함평점,전남 함평군 광남길 101-3,간이음식,18
71,신촌1973떡디저트카페,전남 함평군 서부길 53-26,카페/찻집,17
72,손불신촌떡집,전남 함평군 양재길 27-0,간이음식,17
73,은가옥,전남 함평군 외대화길 26-0,한식,16
74,담담,전남 함평군 향교길 12-5,카페/찻집,15
75,해운수산마트,전남 함평군 중앙길 73-0,전문음식,15
76,은하식당[한식],전남 함평군 광남길 38-24,한식,14
77,산지검은돈식육식당,전남 함평군 영수길 91-0,한식,13
78,진고개가든,전남 함평군 손무로 881-0,한식,13
79,함평떡집,전남 함평군 기산길 24-0,간이음식,13
80,충만치킨함평점,전남 함평군 교광길 8-0,간이음식,13
81,페리카나함평점,전남 함평군 광남길 85-0,간이음식,12
82,영선식당,전남 함평군 상강길 10-0,한식,11
83,중국관[중식],전남 함평군 광남길 72-0,외국식,11
84,고향맛식당,전남 함평군 손불중앙길 76-18,한식,11
85,함평성점숙꽃차,전남 함평군 신흥동길 56-0,간이음식,11
86,함평휴게소한식[한식],전남 함평군 서해안고속도로 31-0,한식,11
87,돌담카페,전남 함평군 대동길 569-0,카페/찻집,11
88,별미관,전남 함평군 시장길 82-1,한식,10
89,드롭탑전남함평점,전남 함평군 서부길 96-0,카페/찻집,10
90,주포국밥집,전남 함평군 주포로 384-0,한식,10
91,꽃게랑백반이랑,전남 함평군 학교길 10-0,한식,10
92,카페나날,전남 함평군 서부길 53-4,카페/찻집,9
93,통달배족발보쌈삼겹함평점,전남 함평군 영수길 88-0,전문음식,9
94,매동포레스트,전남 함평군 매동길 204-9,카페/찻집,9
