순위,업소명,주소,분류,현지인 검색 수
1,티나가든,전남 장성군 화산신기길 9-0,한식,2792
2,초동순두부,전남 장성군 초동길 1-0,전문음식,1749
3,해운대식당[한식],전남 장성군 청운길 5-0,한식,1218
4,루몽드917,전남 장성군 방장로 917-34,카페/찻집,1100
5,구르미머무는,전남 장성군 불태3로 168-0,카페/찻집,1082
6,오데온,전남 장성군 노사로 514-0,카페/찻집,908
7,카페잇다,전남 장성군 덕천길 37-0,카페/찻집,891
8,우시장국밥,전남 장성군 강변로 521-1,한식,854
9,축령산사랑가득국밥,전남 장성군 삼월길 18-0,한식,720
10,청자연,전남 장성군 구석길 53-2,한식,719
11,따뜻한섬온도,전남 장성군 행복1길 2-0,카페/찻집,689
12,아트리움,전남 장성군 불태3로 138-59,카페/찻집,673
13,옥정가든,전남 장성군 구대해길 65-7,한식,644
14,KAFE52장성점,전남 장성군 영장로 1800-0,카페/찻집,564
15,미르당,전남 장성군 일산2길 17-20,카페/찻집,553
16,불태산진원성,전남 장성군 고산로 17-0,한식,546
17,카페필그림,전남 장성군 구석길 71-0,카페/찻집,543
18,워킹타우너,전남 장성군 마흥길 73-0,카페/찻집,496
19,오피먼트,전남 장성군 미락단지길 8-0,카페/찻집,488
20,임정식육식당,전남 장성군 동화로 3-0,한식,455
21,유진회관[한식],전남 장성군 신천길 22-0,한식,434
22,담서,전남 장성군 영화마을길 82-0,카페/찻집,414
23,고돈상회,전남 장성군 영천로 166-0,카페/찻집,412
24,호산식당,전남 장성군 미락단지길 32-0,한식,408
25,카페누비,전남 장성군 내기길 23-0,카페/찻집,395
26,레이디벅스,전남 장성군 청운길 38-0,카페/찻집,394
27,워터프론트,전남 장성군 수양로 201-0,카페/찻집,387
28,젠시오장성호점 [중식],전남 장성군 미락단지길 10-0,외국식,370
29,강서방생선구이,전남 장성군 학산길 2-0,한식,366
30,학교가자,전남 장성군 안평장동길 13-0,한식,332
31,카페여유,전남 장성군 청운12길 19-0,카페/찻집,312
32,젠시오[중식],전남 장성군 역전로 159-0,외국식,311
33,블롬,전남 장성군 수촌길 11-8,카페/찻집,274
34,소담,전남 장성군 전고개로 250-0,한식,274
35,동서식당,전남 장성군 단풍로 1850-0,한식,266
36,산골짜기식당,전남 장성군 홍길동로 388-10,한식,254
37,향숙이네식당,전남 장성군 백양로 2-10,한식,241
38,마음한끼,전남 장성군 축령로 917-0,전문음식,238
39,화수분,전남 장성군 물류로 26-0,한식,214
40,자라봉,전남 장성군 불태3로 154-0,한식,209
41,샤브명가,전남 장성군 단풍로 177-0,전문음식,195
42,임정국밥,전남 장성군 영장로 2340-0,한식,191
43,동산커피,전남 장성군 동산길 6-0,카페/찻집,183
44,까페따리네시아,전남 장성군 갈재로 25-4,카페/찻집,173
45,장성소고기,전남 장성군 역전로 105-0,한식,169
46,남면회관,전남 장성군 못재로 180-0,한식,167
47,용산가든,전남 장성군 불태3로 212-15,전문음식,165
48,삼계농협 농산물산지유통센터,전남 장성군 영장로 1532-0,음식점기타,156
49,신수양가든,전남 장성군 수양로 190-8,한식,145
50,장성엘로우한우식육식당,전남 장성군 덕천길 40-0,한식,144
51,황금코다리장성점,전남 장성군 단풍로 46-0,한식,144
52,MOMO,전남 장성군 상림길 26-0,카페/찻집,139
53,다온정,전남 장성군 함장로 5200-0,한식,138
54,송강풍천장어,전남 장성군 삼태로 13-0,전문음식,132
55,카페그림,전남 장성군 단풍로 501-0,카페/찻집,131
56,국일반점[중식],전남 장성군 청운4길 3-0,외국식,129
57,형제농원,전남 장성군 남창로 418-0,한식,128
58,산동숯불갈비,전남 장성군 산동길 70-0,한식,127
59,낙지한마당,전남 장성군 단풍로 261-0,전문음식,125
60,신도회관[한식],전남 장성군 태청로 426-5,한식,121
61,알콩달콩,전남 장성군 약수2길 27-0,한식,120
62,남창골감나무집농원,전남 장성군 남창로 358-0,전문음식,119
63,만금과수원집,전남 장성군 삼동로 852-6,한식,117
64,호반가든,전남 장성군 백양로 612-0,한식,117
65,남면한우마을,전남 장성군 하서대로 333-4,한식,115
66,은하정,전남 장성군 원용산로 240-0,한식,106
67,친구야,전남 장성군 매화7길 10-0,한식,94
68,에브라임,전남 장성군 추암로 384-10,카페/찻집,93
69,메가커피전남장성점,전남 장성군 영천로 166-1,카페/찻집,88
70,어램프,전남 장성군 단풍로 1122-0,카페/찻집,84
71,댕글댕글,전남 장성군 용매골길 30-0,카페/찻집,82
72,동창식당,전남 장성군 백양로 1136-0,한식,81
73,단풍두부,전남 장성군 백양로 1115-7,전문음식,80
74,달빛정원,전남 장성군 주산2길 7-0,한식,79
75,손달옥한방족발,전남 장성군 청운길 24-0,전문음식,77
76,댐아래오리마을,전남 장성군 미락단지길 40-0,전문음식,77
77,송가네밥상,전남 장성군 단풍로 1862-0,한식,77
78,써니힐,전남 장성군 마령로 22-36,카페/찻집,74
79,산책길,전남 장성군 신흥로 90-8,카페/찻집,73
80,거송회관,전남 장성군 미락단지길 26-0,전문음식,73
81,어게인226,전남 장성군 홍길동로 388-14,카페/찻집,73
