순위,업소명,주소,분류,현지인 검색 수
1,햇님가든,세종시 조뱅이길 24-17,한식,4
2,기장꼼장어도담점,세종시 보듬3로 8-15,전문음식,0
3,경성칼국수,세종시 가름로 170-14,한식,0
4,5.5닭갈비세종점,세종시 보듬3로 8-27,전문음식,0
5,요리하는남자세종조치원점,세종시 새내로 122-0,전문음식,0
6,한옥마을전주비빔밥세종청사점 [한식],세종시 도움6로 11-0,한식,0
7,신포우리만두세종첫마을점,세종시 한누리대로 207-0,간이음식,0
8,임진강장어,세종시 장기로 842-1,전문음식,0
9,어진김밥,세종시 가름로 255-21,간이음식,0
10,180도씨,세종시 고운서길 7-0,간이음식,0
11,억대회포차,세종시 보듬3로 8-21,전문음식,0
12,세종한우곱창,세종시 나성로 133-15,전문음식,0
13,어작교,세종시 아름서길 3-0,한식,0
14,곱창가세종시점,세종시 보듬3로 8-12,전문음식,0
15,백정한우,세종시 절재로 194-0,한식,0
16,자금성세종점 [중식],세종시 한누리대로 283-0,외국식,0
17,정민복집,세종시 절재로 194-0,전문음식,0
18,행복한곰탕,세종시 절재로 194-0,한식,0
19,토담낙지한마당세종시청점,세종시 시청대로 167-0,전문음식,0
20,징기스칸치킨전의점,세종시 장터길 9-0,간이음식,0
21,꺼먹지황태진국,세종시 마음로 96-0,한식,0
22,병규스토리,세종시 보듬3로 8-27,전문음식,0
23,이비가짬뽕세종장기점 [중식],세종시 장기로 875-0,외국식,0
24,세종뽕나무삼계탕,세종시 신흥고샅길 3-0,한식,0
25,베이상세종점 [중식],세종시 금남구즉로 232-0,외국식,0
26,금단양만세종점,세종시 당산로 214-0,전문음식,0
27,하남돼지집세종도담점,세종시 보듬3로 8-29,한식,0
28,화통삼세종도담점,세종시 보듬3로 8-21,한식,0
29,봉추찜닭세종CGV점,세종시 도움1로 108-0,전문음식,0
30,배스킨라빈스세종도담점,세종시 보듬3로 8-20,간이음식,0
31,운주산한우가든,세종시 미륵당2길 8-0,한식,0
32,포몬스세종점,세종시 보듬3로 91-0,외국식,0
33,용담기와집,세종시 안금로 280-0,한식,0
34,생어거스틴세종점,세종시 한누리대로 273-0,외국식,0
35,세종감자탕,세종시 장안길 7-0,한식,0
36,카페더코너,세종시 보듬3로 8-20,카페/찻집,0
37,신흥파닭,세종시 충현로 91-0,간이음식,0
38,봉구스밥버거세종1호점,세종시 누리로 27-0,간이음식,0
39,황제가든,세종시 덕고개길 49-0,한식,0
40,도담한우,세종시 보듬3로 8-15,한식,0
41,깜돌이짬뽕[중식],세종시 충현로 91-0,외국식,0
42,소쟁이한우,세종시 장기로 875-0,한식,0
43,산에언덕에,세종시 당산로 370-5,한식,0
44,명품순두부,세종시 문화2길 5-0,전문음식,0
45,이화수전통육개장세종조치원점,세종시 세종로 2282-0,한식,0
46,왕천파닭부강점,세종시 부강로 35-1,간이음식,0
47,하누가,세종시 절재로 194-0,한식,0
48,세종푸드타운,세종시 장기로 875-0,음식점기타,0
49,본죽세종아름점,세종시 보듬3로 95-0,간이음식,0
50,두끼떡볶이세종종촌점,세종시 도움3로 105-5,간이음식,0
51,두툼,세종시 보듬3로 143-0,전문음식,0
52,스트리트 츄러스 세종점,세종시 도움3로 105-10,간이음식,0
53,박월순곱창,세종시 한누리대로 284-0,전문음식,0
54,굴이야기,세종시 섭골길 23-0,전문음식,0
55,달콤커피세종청사점,세종시 도움8로 11-11,카페/찻집,0
56,신포우리만두세종몰리브CGV점,세종시 도움1로 108-0,간이음식,0
57,카츠쿠라세종어진점 [일식],세종시 도움8로 11-11,외국식,0
58,초록애가든,세종시 월현윗길 31-0,한식,0
59,쓰촨세종점 [중식],세종시 바른7길 45-0,외국식,0
60,마시쭈 칼국수,세종시 고운서길 16-0,한식,0
61,놀부부대찌개세종호수공원점,세종시 도움8로 91-0,전문음식,0
62,정안골,세종시 당암길 64-0,한식,0
63,대나무한소반[한식],세종시 당암길 42-0,한식,0
64,국수나무세종고운점,세종시 고운서길 14-0,한식,0
65,유달리,세종시 도움1로 108-0,카페/찻집,0
66,더크래프트세종도담점,세종시 보듬3로 8-21,간이음식,0
67,빽다방세종시정부청사점,세종시 도움8로 11-11,카페/찻집,0
68,빠스타스종촌점,세종시 달빛로 43-0,전문음식,0
69,들풀세종직영점,세종시 금남구즉로 228-0,한식,0
70,산천,세종시 산학리길 16-4,한식,0
71,명성가든,세종시 응암1길 10-0,한식,0
72,소담밥상,세종시 당산로 197-0,한식,0
73,베이커리공작소,세종시 고운서길 7-0,간이음식,0
74,원조생선구이,세종시 도움8로 91-0,한식,0
75,느티나무집,세종시 노송웅골길 24-10,한식,0
76,이대가장수촌,세종시 평기길 102-29,한식,0
77,도안동감나무집세종점,세종시 금남구즉로 110-9,전문음식,0
78,세종 삼계탕,세종시 절재로 194-0,한식,0
79,이삭토스트세종메가시티점,세종시 도움1로 106-0,간이음식,0
80,커피나,세종시 당산로 368-0,카페/찻집,0
81,별을 먹은 크로와상 커피 생과일,세종시 도움1로 108-0,카페/찻집,0
82,제이리즈,세종시 달빛로 80-0,간이음식,0
83,굴이야기,세종시 절재로 194-0,전문음식,0
84,왕천파닭아름점,세종시 보듬3로 92-0,간이음식,0
85,토정삼계탕청사관점,세종시 도움8로 11-11,한식,0
86,안동국밥,세종시 운주산로 368-0,한식,0
87,세종별곡,세종시 왕의물로 217-11,한식,0
88,디저트39세종메가시티점,세종시 도움1로 106-0,카페/찻집,0
89,디저트39세종정부청사점,세종시 도움8로 11-11,카페/찻집,0
90,낙원한식뷔페,세종시 봉안산소골길 13-0,전문음식,0
91,얌샘김밥조치원점,세종시 새내로 114-0,간이음식,0
