순위,업소명,주소,분류,현지인 검색 수
1,버던트,경북 청도군 연지로 330-0,카페/찻집,2596
2,청도가마솥국밥,경북 청도군 청화로 235-0,한식,2199
3,엘파라이소365,경북 청도군 소라2길 36-13,카페/찻집,1384
4,화덕촌,경북 청도군 화양로 72-0,간이음식,1306
5,오브제토커피,경북 청도군 이슬미로 61-7,카페/찻집,1228
6,로카커피,경북 청도군 낙산1길 51-0,카페/찻집,1144
7,오감즈카페,경북 청도군 금호길 32-8,카페/찻집,1003
8,소우주,경북 청도군 이슬미로 192-6,음식점기타,921
9,티욤핑크,경북 청도군 연지안길 34-11,카페/찻집,887
10,한재참미나리식육식당,경북 청도군 한재로 225-7,한식,851
11,탐복미나리가든,경북 청도군 한재로 382-0,한식,810
12,덕남,경북 청도군 연지안길 33-11,카페/찻집,781
13,아미꼬뜨,경북 청도군 오남길 305-0,카페/찻집,766
14,오경통닭,경북 청도군 청도시장3길 2-8,간이음식,754
15,할매김밥,경북 청도군 고수동4길 15-3,간이음식,611
16,꽃자리,경북 청도군 도주관로 177-0,카페/찻집,571
17,청보리보릿고개,경북 청도군 연지로 318-10,한식,507
18,칠성농장직영식육식당,경북 청도군 청도신기길 84-1,한식,506
19,한재마실,경북 청도군 한재로 225-6,한식,482
20,소우모우,경북 청도군 팔치길 184-42,카페/찻집,481
21,니가쏘다쩨,경북 청도군 칠곡길 2-0,전문음식,468
22,벽오동,경북 청도군 청려로 1724-0,한식,442
23,노커포레스트,경북 청도군 철담길 71-25,카페/찻집,412
24,다뷰커피,경북 청도군 이슬미로 252-0,카페/찻집,398
25,투썸플레이스청도산성강변점,경북 청도군 산성강변길 464-0,카페/찻집,380
26,이지비짬뽕[중식],경북 청도군 송읍길 83-0,외국식,352
27,커피명가청도점,경북 청도군 중앙로 192-14,카페/찻집,348
28,시골집,경북 청도군 고수동5길 18-0,한식,342
29,청도제빵소,경북 청도군 범송길 57-0,간이음식,324
30,밀톤,경북 청도군 신화랑길 6-0,카페/찻집,318
31,오마이북,경북 청도군 동천3길 67-0,카페/찻집,310
32,굽은소나무와오리도둑,경북 청도군 양지길 173-0,한식,309
33,삼토리,경북 청도군 동천3길 66-0,한식,296
34,안압정[한식],경북 청도군 연지안길 33-9,한식,295
35,삼송빵집청도점,경북 청도군 청려로 4189-0,간이음식,282
36,카페마나나,경북 청도군 죽촌길 12-11,카페/찻집,275
37,곰티식당,경북 청도군 곰티로 279-0,한식,272
38,풍각소머리곰탕,경북 청도군 송서7길 5-0,한식,254
39,원리73,경북 청도군 새마을로 904-0,카페/찻집,243
40,놀부야밥도,경북 청도군 학산1길 64-0,한식,240
41,만복이쭈꾸미낙지볶음청도점,경북 청도군 고수동4길 7-2,전문음식,232
42,백운숯불갈비,경북 청도군 고수구길 30-0,한식,210
