순위,업소명,주소,분류,현지인 검색 수
1,카페스톤고령점,경북 고령군 대가야로 446-44,카페/찻집,780
2,진미당제과,경북 고령군 시장길 8-1,간이음식,450
3,부엔빠리오,경북 고령군 낫질로 32-0,카페/찻집,404
4,대원본점,경북 고령군 대가야로 691-0,한식,392
5,녹원가,경북 고령군 장기터길 10-6,한식,375
6,두레두부마을,경북 고령군 덕운로 45-0,한식,291
7,소문난할매국밥,경북 고령군 시장길 41-0,한식,282
8,참살이[한식],경북 고령군 큰골길 208-0,한식,231
9,옛촌갈치,경북 고령군 중앙로 57-12,전문음식,197
10,고령명품한우,경북 고령군 성암로 472-0,한식,157
11,소담채,경북 고령군 동암1길 4-0,전문음식,152
12,고령금산한우,경북 고령군 성산로 946-5,한식,150
13,고령염소마을,경북 고령군 운용로 72-0,한식,144
14,신가네손칼짬뽕[중식],경북 고령군 대가야로 897-0,외국식,137
15,만복이쭈꾸미낙지볶음고령점,경북 고령군 장기공단1길 25-0,전문음식,127
16,대가야카페,경북 고령군 안일량길 18-39,카페/찻집,119
17,월산복어,경북 고령군 일량로 33-0,전문음식,109
18,열화커피,경북 고령군 다산로 690-0,카페/찻집,107
19,개진고로케,경북 고령군 장기터길 15-2,간이음식,105
20,대가야농원식당,경북 고령군 대가야로 1455-23,한식,74
21,경도식당,경북 고령군 대가야로 1521-0,한식,72
22,미주식당,경북 고령군 시장1길 10-5,한식,66
23,카페포카오,경북 고령군 신남로 47-0,카페/찻집,63
24,한식명가가야금,경북 고령군 장기터길 1-0,한식,59
25,퐁텐블루,경북 고령군 덕운로 837-0,카페/찻집,59
26,대가야세자매식당,경북 고령군 대가야로 831-0,한식,58
27,백산한우명가,경북 고령군 영서로 3199-0,한식,54
28,카페밤부,경북 고령군 좌학길 12-0,카페/찻집,53
29,영생병원장례식장식당,경북 고령군 중앙로 33-0,한식,48
30,정갈비탕,경북 고령군 대가야로 636-0,한식,44
31,개실마을,경북 고령군 개실1길 29-0,한식,42
32,달호네돼지국밥,경북 고령군 성산로 812-0,한식,42
33,다산식육식당,경북 고령군 다산로 0-0,한식,40
34,엄마와까치집두개,경북 고령군 대가야로 933-0,한식,39
35,휴식의몽상,경북 고령군 월기길 9-0,카페/찻집,37
36,홍천뚝배기,경북 고령군 왕릉로 57-0,한식,35
37,고령휴게소식당,경북 고령군 대가야로 819-0,한식,35
38,원진복어,경북 고령군 고헌3길 31-0,전문음식,35
39,배스킨라빈스경북고령점,경북 고령군 중앙로 16-0,간이음식,34
40,숲과한옥,경북 고령군 성암로 55-10,한식,33
41,송산능이백숙,경북 고령군 성암로 809-0,한식,32
42,들봄가든,경북 고령군 벌지로 342-1,한식,29
43,영자네맛집,경북 고령군 벌지로 190-0,한식,29
44,경희숯불가든,경북 고령군 중앙로 41-0,한식,29
45,떡본가,경북 고령군 중앙로 23-0,간이음식,29
46,다온식육식당,경북 고령군 시장3길 29-0,한식,26
47,모메존꽁보리밥,경북 고령군 성암로 51-0,한식,26
48,나루터어탕,경북 고령군 사문진로 158-0,한식,26
49,시골뚝배기고령점,경북 고령군 일량로 25-0,한식,24
50,고령추어탕,경북 고령군 시장길 21-0,한식,24
51,행복이머무는집,경북 고령군 사문나루3길 13-0,한식,23
52,정통닭칼국수고령점,경북 고령군 왕릉로 118-0,한식,22
53,소대장숯불,경북 고령군 중앙로 57-0,전문음식,20
54,성우식당,경북 고령군 성암로 548-5,한식,20
55,이소,경북 고령군 지산길 7-7,카페/찻집,19
56,가실마을,경북 고령군 중앙로 50-0,한식,19
57,축산사랑,경북 고령군 중앙로 25-0,한식,17
58,일품장수미역고령점,경북 고령군 왕릉로 69-7,한식,16
59,새합천한우식당,경북 고령군 성암로 136-0,한식,16
60,홍가네칼국수,경북 고령군 연조길 31-0,한식,16
61,진미식당,경북 고령군 다산중앙길 16-0,한식,16
62,카페봄봄고령점,경북 고령군 중앙로 7-0,카페/찻집,16
63,오늘은짬뽕땡기는날,경북 고령군 벽화길 6-0,외국식,16
64,비올댓,경북 고령군 낫질로 180-0,카페/찻집,15
