순위,업소명,주소,분류,현지인 검색 수
1,덕천418,대구 수성구 유니버시아드로 66-46,카페/찻집,6979
2,바르미스시뷔페두산점,대구 수성구 무학로 78-0,외국식,6714
3,조조칼국수본점,대구 수성구 국채보상로 912-0,한식,5889
4,룰리커피,대구 수성구 고모로 188-0,카페/찻집,5865
5,서민갈비,대구 수성구 들안로 8-5,한식,5693
6,리안,대구 수성구 교학로4길 48-0,외국식,5665
7,맥도날드대구수성DT점,대구 수성구 달구벌대로 2345-0,간이음식,5619
8,삼송1957,대구 수성구 수성못2길 26-0,간이음식,5082
9,아웃백스테이크하우스대구황금점,대구 수성구 동대구로 219-0,전문음식,4738
10,맥도날드대구시지DT점,대구 수성구 달구벌대로 3199-0,간이음식,4076
11,맥도날드대구희망DT점,대구 수성구 수성로 238-0,간이음식,3989
12,연경반점[중식],대구 수성구 수성로 222-0,외국식,3852
13,푸주옥,대구 수성구 청수로 110-0,한식,3743
13,스타벅스대구수성네거리DT점,대구 수성구 들안로 342-0,카페/찻집,3743
15,맥도날드대구황금DT점,대구 수성구 청수로 157-0,간이음식,3710
16,버거킹대구만촌점,대구 수성구 달구벌대로 2622-0,간이음식,3700
17,고모역쭈꾸미,대구 수성구 고모로 188-0,전문음식,3664
18,KFC황금동점,대구 수성구 동대구로 155-0,간이음식,3418
19,스타벅스대구중동DT점,대구 수성구 수성로 243-0,카페/찻집,3390
20,라라코스트대구들안길점,대구 수성구 들안로 33-1,전문음식,3377
21,핸즈커피대구미술관점,대구 수성구 미술관로 40-0,카페/찻집,3361
22,공심옥,대구 수성구 유니버시아드로 318-0,한식,3287
23,방어진 참가자미,대구 수성구 수성못2길 35-0,전문음식,3249
24,바우어,대구 수성구 용학로 361-0,간이음식,3154
25,엔제리너스아일랜드점,대구 수성구 용학로 76-0,카페/찻집,3139
26,스타벅스대구수성호수R점,대구 수성구 용학로 56-0,카페/찻집,3044
27,푸나왈라,대구 수성구 수성못2길 3-0,외국식,3040
28,샤브20수성점,대구 수성구 무학로 83-0,전문음식,3007
29,미성복어본점,대구 수성구 들안로 87-0,전문음식,2993
30,신천궁전떡볶이,대구 수성구 국채보상로162길 72-0,간이음식,2961
31,스타벅스수성레이크점,대구 수성구 수성못길 4-0,카페/찻집,2929
32,삼수장어신천동로점,대구 수성구 신천동로 442-0,전문음식,2853
33,봉화나물밥,대구 수성구 달구벌대로568길 28-0,한식,2832
34,제니스뷔페수성점,대구 수성구 달구벌대로 2435-0,전문음식,2771
35,아트리움,대구 수성구 국채보상로186길 151-0,전문음식,2695
36,홍구원수성점 [중식],대구 수성구 동대구로 167-0,외국식,2665
37,남도명가[한식],대구 수성구 들안로 40-0,한식,2640
38,맨션5수성,대구 수성구 청수로 73-0,카페/찻집,2639
39,울진참가자미회수성점,대구 수성구 들안로 297-0,전문음식,2630
40,용지봉[한식],대구 수성구 들안로 9-0,한식,2605
41,청진동해장국,대구 수성구 유니버시아드로 336-0,한식,2593
42,명동돼지한마리,대구 수성구 범어천로 48-0,한식,2558
43,핸즈커피수성못점,대구 수성구 용학로 106-5,카페/찻집,2514
44,뜨삽수성본점,대구 수성구 용학로 106-7,간이음식,2508
45,윤옥연할매떡볶이본점,대구 수성구 들안로77길 11-0,간이음식,2502
46,홍익돈까스황금점,대구 수성구 동대구로 90-0,전문음식,2464
47,신짜오본점,대구 수성구 수성못6길 20-6,외국식,2442
48,카페아이올리,대구 수성구 달구벌대로652길 16-0,카페/찻집,2434
49,경복궁대구점 [한식],대구 수성구 용학로 134-0,한식,2410
50,망향비빔국수대구수성점,대구 수성구 무학로 89-0,한식,2391
51,폴바셋만촌DT점,대구 수성구 무열로 178-0,카페/찻집,2349
52,미즈컨테이너레이크플레이트점,대구 수성구 수성못6길 10-0,외국식,2334
53,스타벅스대구두산DT점,대구 수성구 지범로 37-0,카페/찻집,2313
54,들안길먹자골목,대구 수성구,음식점기타,2301
55,삿뽀로대구점,대구 수성구 용학로 134-0,외국식,2286
56,온기정[일식],대구 수성구 수성못6길 9-0,외국식,2246
57,싱싱뽈락회,대구 수성구 수성못2길 17-0,전문음식,2244
58,만솥[중식],대구 수성구 동대구로 237-0,외국식,2228
59,꽃피는화덕피자D485대구수성못점,대구 수성구 용학로 111-0,간이음식,2225
60,스타벅스대구만촌DT점,대구 수성구 달구벌대로 2636-0,카페/찻집,2210
61,이향식당,대구 수성구 월드컵로5안길 17-3,한식,2199
62,우즈베이커리카페수성호수점,대구 수성구 수성못6길 3-0,카페/찻집,2197
63,스타벅스대구들안길DT점,대구 수성구 들안로 85-0,카페/찻집,2193
64,까꾸리손칼국수,대구 수성구 월드컵로5길 17-0,한식,2190
65,미남장어수성점,대구 수성구 들안로 56-0,전문음식,2189
66,슬로우라이프,대구 수성구 동대구로77길 33-6,카페/찻집,2135
67,크리스피크림도넛대구범어점,대구 수성구 달구벌대로 2538-0,간이음식,2116
67,뉴욕바닷가재대구본점,대구 수성구 용학로 106-7,전문음식,2116
69,조돌해녀수성못점,대구 수성구 수성못2길 36-0,전문음식,2111
70,금수강산해물탕찜,대구 수성구 들안로 60-0,한식,2101
71,서가앤쿡수성못점,대구 수성구 용학로 62-0,전문음식,2086
72,커피스미스대구수성레이크점,대구 수성구 용학로 82-0,카페/찻집,2082
73,내안에,대구 수성구 무학로 85-0,외국식,2068
74,아사다라,대구 수성구 용학로 116-12,한식,2053
75,페이스포포,대구 수성구 고모로 15-1,카페/찻집,2052
76,길세이로무시대구본점,대구 수성구 들안로 93-1,외국식,2039
77,스타벅스대구중동네거리DT점,대구 수성구 청수로 51-0,카페/찻집,2021
78,후꾸스시[일식],대구 수성구 동대구로20길 66-0,외국식,2012
79,신신반점수성점 [중식],대구 수성구 무학로 111-0,외국식,1994
80,맥도날드대구만촌DT점,대구 수성구 달구벌대로 2634-0,간이음식,1974
81,데우스커피,대구 수성구 동대구로14길 15-6,카페/찻집,1968
82,마루막창수성점,대구 수성구 수성못2길 5-0,전문음식,1940
83,루미너스,대구 수성구 희망로 204-0,전문음식,1934
84,다전손칼국수,대구 수성구 지범로21길 15-0,한식,1917
85,스타벅스대구황금DT점,대구 수성구 청수로 164-0,카페/찻집,1893
85,핸즈커피시지점,대구 수성구 달구벌대로 3057-0,카페/찻집,1893
85,무화커피,대구 수성구 국채보상로186길 81-0,카페/찻집,1893
88,만반,대구 수성구 들안로 32-0,한식,1891
89,본가안동국시본점,대구 수성구 희망로 216-0,한식,1886
90,앙뜨레누보본점,대구 수성구 수성못6길 20-0,외국식,1877
91,팬아시아수성못점,대구 수성구 수성못2길 15-0,외국식,1866
92,시지본,대구 수성구 노변로 79-0,간이음식,1862
92,장원부대찌개철판구이황금점,대구 수성구 청수로 99-0,전문음식,1862
94,커피맛을조금아는남자본점,대구 수성구 범어천로 153-0,카페/찻집,1841
95,아눅사월점,대구 수성구 천을로 231-0,카페/찻집,1823
96,스타벅스대구수성도서관DT점,대구 수성구 화랑로 112-0,카페/찻집,1819
97,아리조나막창,대구 수성구 용학로25길 45-0,전문음식,1806
98,스타벅스국립대구박물관DT점,대구 수성구 청호로 318-0,카페/찻집,1791
99,비단옥,대구 수성구 수성못2길 9-0,외국식,1786
100,샤브마니아대구수성못점,대구 수성구 용학로 84-0,전문음식,1783
